t_s,Q_out_m3s,Q_in_m3s,level_mRL,breach_bottom_mRL,breach_bottom_width_m,breach_top_width_m
0,0.000,0.000,222.345,224.300,0.00,0.00
30,0.000,0.000,222.345,224.300,0.00,0.00
60,0.000,0.003,222.345,224.300,0.00,0.00
90,0.000,0.007,222.345,224.300,0.00,0.00
120,0.000,0.014,222.345,224.300,0.00,0.00
150,0.000,0.025,222.345,224.300,0.00,0.00
180,0.000,0.040,222.345,224.300,0.00,0.00
210,0.000,0.058,222.345,224.300,0.00,0.00
240,0.000,0.082,222.345,224.300,0.00,0.00
270,0.000,0.110,222.345,224.300,0.00,0.00
300,0.000,0.143,222.345,224.300,0.00,0.00
330,0.000,0.181,222.345,224.300,0.00,0.00
360,0.000,0.225,222.345,224.300,0.00,0.00
390,0.000,0.275,222.345,224.300,0.00,0.00
420,0.000,0.331,222.345,224.300,0.00,0.00
450,0.000,0.393,222.345,224.300,0.00,0.00
480,0.000,0.461,222.345,224.300,0.00,0.00
510,0.000,0.537,222.345,224.300,0.00,0.00
540,0.000,0.619,222.345,224.300,0.00,0.00
570,0.000,0.708,222.345,224.300,0.00,0.00
600,0.000,0.805,222.345,224.300,0.00,0.00
630,0.000,0.909,222.345,224.300,0.00,0.00
660,0.000,1.021,222.345,224.300,0.00,0.00
690,0.000,1.141,222.345,224.300,0.00,0.00
720,0.000,1.269,222.346,224.300,0.00,0.00
750,0.000,1.404,222.346,224.300,0.00,0.00
780,0.000,1.548,222.346,224.300,0.00,0.00
810,0.000,1.701,222.346,224.300,0.00,0.00
840,0.000,1.862,222.346,224.300,0.00,0.00
870,0.000,2.032,222.346,224.300,0.00,0.00
900,0.000,2.211,222.346,224.300,0.00,0.00
930,0.000,2.398,222.346,224.300,0.00,0.00
960,0.000,2.595,222.346,224.300,0.00,0.00
990,0.000,2.801,222.346,224.300,0.00,0.00
1020,0.000,3.016,222.346,224.300,0.00,0.00
1050,0.000,3.241,222.347,224.300,0.00,0.00
1080,0.000,3.475,222.347,224.300,0.00,0.00
1110,0.000,3.719,222.347,224.300,0.00,0.00
1140,0.000,3.973,222.347,224.300,0.00,0.00
1170,0.000,4.236,222.347,224.300,0.00,0.00
1200,0.000,4.510,222.347,224.300,0.00,0.00
1230,0.000,4.793,222.348,224.300,0.00,0.00
1260,0.000,5.087,222.348,224.300,0.00,0.00
1290,0.000,5.391,222.348,224.300,0.00,0.00
1320,0.000,5.705,222.348,224.300,0.00,0.00
1350,0.000,6.029,222.348,224.300,0.00,0.00
1380,0.000,6.364,222.349,224.300,0.00,0.00
1410,0.000,6.709,222.349,224.300,0.00,0.00
1440,0.000,7.065,222.349,224.300,0.00,0.00
1470,0.000,7.431,222.350,224.300,0.00,0.00
1500,0.000,7.808,222.350,224.300,0.00,0.00
1530,0.000,8.196,222.350,224.300,0.00,0.00
1560,0.000,8.594,222.351,224.300,0.00,0.00
1590,0.000,9.003,222.351,224.300,0.00,0.00
1620,0.000,9.423,222.351,224.300,0.00,0.00
1650,0.000,9.853,222.352,224.300,0.00,0.00
1680,0.000,10.295,222.352,224.300,0.00,0.00
1710,0.000,10.747,222.353,224.300,0.00,0.00
