rate_case,hours,q_m3s,pond_level_mRL,volume_dewatered_m3,peak_Q_m3s,volume_released_m3,time_to_peak_h
low,0.0,4.0,226.5,0.0,235.1579,1240866.2903,1.3561
low,1.0,4.0,226.452,14400.0,230.9435,1226394.3839,1.3622
low,2.0,4.0,226.4038,28800.0,226.7833,1211921.3017,1.3689
low,3.0,4.0,226.3556,43200.0,222.6205,1197447.0129,1.3753
low,4.0,4.0,226.3072,57600.0,218.4865,1182971.486,1.3819
low,6.0,4.0,226.2103,86400.0,210.3239,1154016.5855,1.3958
low,8.0,4.0,226.1129,115200.0,202.2334,1125056.3234,1.4103
low,12.0,4.0,225.9169,172800.0,186.3766,1067118.503,1.4406
low,18.0,4.0,225.6199,259200.0,163.4036,980163.3521,1.4914
low,24.0,4.0,225.3189,345600.0,141.4216,893140.2297,1.5494
high,0.0,5.0,226.5,0.0,235.1579,1240866.2903,1.3561
high,1.0,5.0,226.4399,18000.0,229.9103,1222776.2248,1.3639
high,2.0,5.0,226.3797,36000.0,224.6875,1204684.3101,1.3719
high,3.0,5.0,226.3193,54000.0,219.5199,1186590.4856,1.3803
high,4.0,5.0,226.2588,72000.0,214.4054,1168494.6882,1.3889
high,6.0,5.0,226.1373,108000.0,204.2378,1132296.9075,1.4067
high,8.0,5.0,226.0151,144000.0,194.2485,1096090.4025,1.425
high,12.0,5.0,225.7689,216000.0,174.7591,1023648.6833,1.4653
high,18.0,5.0,225.3945,324000.0,146.8209,914903.0808,1.5342
high,24.0,5.0,225.014,432000.0,120.539,806035.3041,1.6169
