t_s,Q_out_m3s,Q_in_m3s,level_mRL,breach_bottom_mRL,breach_bottom_width_m,breach_top_width_m
0,0.000,0.000,226.500,226.500,0.00,0.00
30,0.001,0.000,226.500,226.480,0.12,0.14
60,0.003,0.000,226.500,226.460,0.23,0.29
90,0.010,0.000,226.500,226.440,0.35,0.43
120,0.020,0.000,226.500,226.420,0.46,0.57
150,0.034,0.000,226.500,226.399,0.58,0.72
180,0.054,0.000,226.500,226.379,0.69,0.86
210,0.080,0.000,226.500,226.359,0.81,1.01
240,0.112,0.000,226.500,226.339,0.92,1.15
270,0.150,0.000,226.500,226.319,1.04,1.29
300,0.195,0.000,226.500,226.299,1.16,1.44
330,0.247,0.000,226.500,226.279,1.27,1.58
360,0.307,0.000,226.500,226.259,1.39,1.72
390,0.375,0.000,226.500,226.239,1.50,1.87
420,0.452,0.000,226.500,226.218,1.62,2.01
450,0.536,0.000,226.500,226.198,1.73,2.16
480,0.630,0.000,226.500,226.178,1.85,2.30
510,0.733,0.000,226.500,226.158,1.96,2.44
540,0.846,0.000,226.500,226.138,2.08,2.59
570,0.968,0.000,226.499,226.118,2.20,2.73
600,1.100,0.000,226.499,226.098,2.31,2.87
630,1.242,0.000,226.499,226.078,2.43,3.02
660,1.395,0.000,226.499,226.058,2.54,3.16
690,1.558,0.000,226.499,226.037,2.66,3.30
720,1.732,0.000,226.499,226.017,2.77,3.45
750,1.918,0.000,226.499,225.997,2.89,3.59
780,2.114,0.000,226.498,225.977,3.00,3.74
810,2.322,0.000,226.498,225.957,3.12,3.88
840,2.542,0.000,226.498,225.937,3.23,4.02
870,2.774,0.000,226.498,225.917,3.35,4.17
900,3.017,0.000,226.497,225.897,3.47,4.31
930,3.273,0.000,226.497,225.877,3.58,4.45
960,3.541,0.000,226.497,225.856,3.70,4.60
990,3.822,0.000,226.496,225.836,3.81,4.74
1020,4.116,0.000,226.496,225.816,3.93,4.89
1050,4.422,0.000,226.496,225.796,4.04,5.03
1080,4.741,0.000,226.495,225.776,4.16,5.17
1110,5.073,0.000,226.495,225.756,4.27,5.32
1140,5.419,0.000,226.494,225.736,4.39,5.46
1170,5.777,0.000,226.494,225.716,4.51,5.60
1200,6.150,0.000,226.493,225.696,4.62,5.75
1230,6.535,0.000,226.492,225.676,4.74,5.89
1260,6.935,0.000,226.492,225.655,4.85,6.03
1290,7.348,0.000,226.491,225.635,4.97,6.18
1320,7.775,0.000,226.490,225.615,5.08,6.32
1350,8.216,0.000,226.489,225.595,5.20,6.47
1380,8.671,0.000,226.489,225.575,5.31,6.61
1410,9.140,0.000,226.488,225.555,5.43,6.75
1440,9.623,0.000,226.487,225.535,5.55,6.90
1470,10.120,0.000,226.486,225.515,5.66,7.04
1500,10.632,0.000,226.485,225.495,5.78,7.18
1530,11.157,0.000,226.484,225.474,5.89,7.33
1560,11.698,0.000,226.482,225.454,6.01,7.47
1590,12.252,0.000,226.481,225.434,6.12,7.62
1620,12.821,0.000,226.480,225.414,6.24,7.76
1650,13.404,0.000,226.479,225.394,6.35,7.90
1680,14.002,0.000,226.477,225.374,6.47,8.05
1710,14.614,0.000,226.476,225.354,6.59,8.19
1740,15.241,0.000,226.474,225.334,6.70,8.33
1770,15.882,0.000,226.473,225.314,6.82,8.48
1800,16.538,0.000,226.471,225.293,6.93,8.62
1830,17.208,0.000,226.470,225.273,7.05,8.76
1860,17.893,0.000,226.468,225.253,7.16,8.91
1890,18.592,0.000,226.466,225.233,7.28,9.05
1920,19.305,0.000,226.464,225.213,7.39,9.20
1950,20.033,0.000,226.462,225.193,7.51,9.34
1980,20.775,0.000,226.460,225.173,7.63,9.48
2010,21.531,0.000,226.458,225.153,7.74,9.63
2040,22.301,0.000,226.456,225.133,7.86,9.77
2070,23.086,0.000,226.453,225.112,7.97,9.91
2100,23.885,0.000,226.451,225.092,8.09,10.06
2130,24.697,0.000,226.449,225.072,8.20,10.20
2160,25.524,0.000,226.446,225.052,8.32,10.35
2190,26.365,0.000,226.444,225.032,8.43,10.49
2220,27.219,0.000,226.441,225.012,8.55,10.63
2250,28.087,0.000,226.438,224.992,8.67,10.78
2280,28.969,0.000,226.435,224.972,8.78,10.92
