road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,82.0,0.83,1.0570745468139648,1537426.1502974937,5196363.585422184,,3.0
Wolffs Road,415.0,88.0,1.33,0.9852147698402405,1539443.955700194,5194931.518565687,,3.51
Poyntzs Road,711.0,141.0,1.92,0.9156222343444824,1541560.2378244402,5193747.528883582,,4.09
Pesters Road,291.0,61.0,2.27,0.528937816619873,1543534.0241761813,5194511.775579985,,4.44
Downs Road,446.0,103.0,3.33,1.1162813901901245,1547808.5678252,5193480.711117617,,5.5
Browns Road,470.0,93.0,4.34,0.641002893447876,1551848.7276586564,5192110.636221033,,6.51
Two Chain Road,548.0,89.0,5.42,0.6262227892875671,1555371.5576507498,5191788.6663645925,,7.59
Diversion Road,98.0,33.0,7.51,0.4294106066226959,1561307.3629998511,5191048.920883765,,9.68
Wrights Road,447.0,20.0,0.36,1.8359960317611694,1535206.9846206356,5196799.787464091,,2.53
Dixon Road,285.0,102.0,1.0,0.7335379719734192,1536518.6372346198,5197026.391451945,,3.17
South Eyre Road,1465.0,40.0,7.9,0.234328955411911,1559948.6874121812,5193387.891065564,,10.07
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
