road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,86.0,0.82,1.0143654346466064,1537343.845188636,5196075.0964812245,,2.99
Wolffs Road,415.0,91.0,1.33,1.0014982223510742,1539424.120859719,5194885.621080981,,3.51
Poyntzs Road,711.0,145.0,1.92,0.8107696175575256,1541521.8880767797,5193683.075048518,,4.09
Pesters Road,291.0,68.0,2.33,0.5457298159599304,1543534.0241761813,5194511.775579985,,4.5
Downs Road,446.0,110.0,3.42,1.416333794593811,1547931.0897267729,5192893.4083041195,,5.59
Browns Road,470.0,91.0,4.67,0.611417829990387,1552052.2498399767,5192452.427748746,,6.84
Two Chain Road,548.0,91.0,5.75,0.6518241167068481,1555158.953396126,5191365.400921876,,7.92
Diversion Road,98.0,34.0,7.9,0.33724284172058105,1561310.311093997,5190974.430343832,,10.07
Wrights Road,447.0,18.0,0.23,1.6867297887802124,1535221.0648295563,5196847.7639970705,,2.4
Dixon Road,285.0,116.0,1.0,0.7883630394935608,1536063.2805190375,5197161.574487302,,3.17
South Eyre Road,1465.0,23.0,8.5,0.5907134413719177,1559972.904124156,5193381.682133921,,10.67
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
