road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,86.0,0.82,1.0143637657165527,1537343.845188636,5196075.0964812245,,2.99
Wolffs Road,415.0,90.0,1.33,1.0021940469741821,1539424.120859719,5194885.621080981,,3.51
Poyntzs Road,711.0,144.0,1.92,0.7874746322631836,1541547.4545752201,5193726.044271894,,4.09
Pesters Road,291.0,67.0,2.31,0.5024382472038269,1543534.0241761813,5194511.775579985,,4.48
Downs Road,446.0,96.0,3.33,1.1060432195663452,1547819.296767262,5193431.875784074,,5.5
Browns Road,470.0,100.0,4.37,0.6035237908363342,1551767.515127543,5192015.612409332,,6.54
Two Chain Road,548.0,89.0,5.42,0.6335750818252563,1555337.8146257182,5191721.685708716,,7.59
Diversion Road,98.0,34.0,7.49,0.4001517593860626,1561307.3629998511,5191048.920883765,,9.66
Wrights Road,447.0,18.0,0.23,1.6867297887802124,1535221.0648295563,5196847.7639970705,,2.4
Dixon Road,285.0,116.0,1.0,0.7591724395751953,1536063.2805190375,5197161.574487302,,3.17
South Eyre Road,1465.0,22.0,7.92,0.6076352000236511,1559972.904124156,5193381.682133921,,10.09
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
