road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,85.0,0.81,1.0049668550491333,1537364.4214658504,5196147.218716465,,2.99
Wolffs Road,415.0,87.0,1.33,0.9992559552192688,1539443.955700194,5194931.518565687,,3.51
Poyntzs Road,711.0,147.0,1.92,0.809654951095581,1541585.8043228807,5193790.498106957,,4.09
Pesters Road,291.0,70.0,2.42,0.5573084950447083,1543534.0241761813,5194511.775579985,,4.59
Downs Road,446.0,105.0,3.42,1.4646259546279907,1547907.6125981607,5193016.183808322,,5.59
Browns Road,470.0,86.0,4.67,0.7228404879570007,1551897.4551773246,5192167.650508053,,6.84
Two Chain Road,548.0,96.0,5.75,0.6810063719749451,1555360.3099757393,5191766.3394793,,7.92
Diversion Road,98.0,33.0,8.04,0.4402254521846771,1561312.5635267792,5190999.328668004,,10.21
Wrights Road,447.0,18.0,0.23,1.6867297887802124,1535221.0648295563,5196847.7639970705,,2.4
Dixon Road,285.0,116.0,1.0,0.7886698246002197,1536063.2805190375,5197161.574487302,,3.17
South Eyre Road,1465.0,30.0,8.58,0.39966681599617004,1560093.989709193,5193350.645363852,,10.76
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
