road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,84.0,0.81,1.0049668550491333,1537364.4214658504,5196147.218716465,,2.99
Wolffs Road,415.0,87.0,1.33,1.0005970001220703,1539443.955700194,5194931.518565687,,3.51
Poyntzs Road,711.0,146.0,1.92,0.8086424469947815,1541585.8043228807,5193790.498106957,,4.09
Pesters Road,291.0,67.0,2.33,0.5253888368606567,1543534.0241761813,5194511.775579985,,4.5
Downs Road,446.0,95.0,3.39,1.1718499660491943,1547797.838883138,5193529.546451159,,5.57
Browns Road,470.0,98.0,4.36,0.7026152014732361,1551816.242646211,5192072.626696352,,6.53
Two Chain Road,548.0,101.0,5.5,0.659269392490387,1555696.491583256,5192436.772882708,,7.67
Diversion Road,98.0,31.0,7.58,0.48733073472976685,1561297.4663685923,5191123.265061008,,9.76
Wrights Road,447.0,18.0,0.23,1.6867297887802124,1535221.0648295563,5196847.7639970705,,2.4
Dixon Road,285.0,116.0,1.0,0.7489597201347351,1536063.2805190375,5197161.574487302,,3.17
South Eyre Road,1465.0,27.0,7.99,0.4020267426967621,1560021.3383581708,5193369.267425894,,10.16
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
