road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,145.0,0.75,1.1479570865631104,1537343.845188636,5196075.0964812245,,2.92
Wolffs Road,415.0,207.0,1.33,1.0366824865341187,1539424.120859719,5194885.621080981,,3.51
Poyntzs Road,711.0,226.0,1.83,1.3339550495147705,1541573.0210736603,5193769.013495269,,4.01
Pesters Road,291.0,130.0,2.25,1.4102067947387695,1543534.0241761813,5194511.775579985,,4.42
Downs Road,446.0,219.0,3.18,1.6207737922668457,1547912.308023883,5192991.628707482,,5.35
Browns Road,470.0,264.0,4.17,0.989250123500824,1551816.242646211,5192072.626696352,,6.34
Two Chain Road,548.0,272.0,5.0,0.9664213061332703,1555337.8146257182,5191721.685708716,,7.17
Diversion Road,98.0,92.0,6.65,0.5522882342338562,1561310.311093997,5190974.430343832,,8.82
Wrights Road,447.0,65.0,0.25,1.6885879039764404,1535228.1049340167,5196871.75226356,,2.42
Dixon Road,285.0,120.0,1.0,0.8205916285514832,1536087.1998538794,5197154.303626231,,3.17
South Eyre Road,1465.0,590.0,,1.2602219581604004,,,,
Thongcaster Road,382.0,29.0,,0.23050524294376373,,,,
Domain Road,280.0,6.0,,0.14493831992149353,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
