road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,56.0,,1.1479570865631104,,,,
Wolffs Road,415.0,118.0,1.56,0.49706190824508667,1541399.5997000295,5199464.992935364,,3.73
Poyntzs Road,711.0,95.0,0.17,1.3339550495147705,1544309.37631176,5199297.173685038,,2.34
Pesters Road,291.0,68.0,0.47,1.4102067947387695,1545900.176532224,5198243.277543047,,2.64
Downs Road,446.0,135.0,0.62,1.2322399616241455,1549332.4959241026,5198109.830111754,,2.79
Browns Road,470.0,201.0,1.42,0.989250123500824,1551686.3025964294,5191920.588597631,,3.59
Two Chain Road,548.0,206.0,1.64,0.9664213061332703,1558309.962999199,5197673.69987119,,3.81
Diversion Road,98.0,76.0,3.3,0.5252352356910706,1560800.4406626627,5192924.832310121,,5.47
Wrights Road,447.0,47.0,,0.30994758009910583,,,,
Dixon Road,285.0,8.0,0.94,0.19322285056114197,1535967.60317967,5197190.657931589,,3.12
South Eyre Road,1465.0,590.0,0.68,1.235650897026062,1560661.9488735516,5193206.796333508,,2.85
Thongcaster Road,382.0,16.0,4.38,0.16921904683113098,1548862.8626517523,5190529.480870531,,6.55
Domain Road,280.0,6.0,,0.14493831992149353,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
