road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,43.0,,0.5295193791389465,,,,
Wolffs Road,415.0,59.0,1.57,0.2882917523384094,1541399.5997000295,5199464.992935364,,3.74
Poyntzs Road,711.0,79.0,0.51,0.9508435726165771,1541100.0408525139,5192974.082862821,,2.68
Pesters Road,291.0,32.0,0.55,1.1504303216934204,1545887.230385062,5198221.8906949,,2.72
Downs Road,446.0,118.0,0.62,1.028286337852478,1549332.4959241026,5198109.830111754,,2.79
Browns Road,470.0,178.0,1.28,0.89437335729599,1554103.4287081973,5195283.424541291,,3.45
Two Chain Road,548.0,185.0,1.74,0.8742124438285828,1558309.962999199,5197673.69987119,,3.91
Diversion Road,98.0,79.0,3.39,0.4619884490966797,1560800.4406626627,5192924.832310121,,5.56
Wrights Road,447.0,24.0,,0.17522349953651428,,,,
Dixon Road,285.0,8.0,1.01,0.19307993352413177,1535967.60317967,5197190.657931589,,3.19
South Eyre Road,1465.0,531.0,0.68,1.153104543685913,1560661.9488735516,5193206.796333508,,2.85
Thongcaster Road,382.0,16.0,4.34,0.1700800210237503,1548862.8626517523,5190529.480870531,,6.51
Domain Road,280.0,6.0,,0.14495159685611725,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
