road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,125.0,0.75,1.0161806344985962,1537343.845188636,5196075.0964812245,,2.92
Wolffs Road,415.0,152.0,1.33,1.037469744682312,1539424.120859719,5194885.621080981,,3.51
Poyntzs Road,711.0,207.0,1.83,0.9878538846969604,1541573.0210736603,5193769.013495269,,4.01
Pesters Road,291.0,87.0,2.23,1.1885735988616943,1543534.0241761813,5194511.775579985,,4.4
Downs Road,446.0,195.0,3.17,1.2574557065963745,1547867.577006541,5193212.116783132,,5.34
Browns Road,470.0,242.0,3.92,0.9003822803497314,1552019.0909720098,5192385.15599037,,6.09
Two Chain Road,548.0,244.0,4.76,0.8840481042861938,1555349.0623007286,5191744.012594008,,6.93
Diversion Road,98.0,90.0,6.25,0.5445021390914917,1561307.3629998511,5191048.920883765,,8.42
Wrights Road,447.0,35.0,0.25,1.6886086463928223,1535228.1049340167,5196871.75226356,,2.42
Dixon Road,285.0,120.0,1.0,0.7858983278274536,1536087.1998538794,5197154.303626231,,3.17
South Eyre Road,1465.0,527.0,,1.1964037418365479,,,,
Thongcaster Road,382.0,29.0,,0.22953395545482635,,,,
Domain Road,280.0,6.0,,0.14504952728748322,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
