road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,86.0,0.77,1.0010154247283936,1537357.562706779,5196123.1779713845,,2.94
Wolffs Road,415.0,88.0,1.33,0.9427369236946106,1539424.120859719,5194885.621080981,,3.51
Poyntzs Road,711.0,144.0,1.9,0.7522211074829102,1541854.4343774205,5194241.566429074,,4.07
Pesters Road,291.0,66.0,2.27,0.5139033794403076,1543547.320497774,5194532.946499476,,4.44
Downs Road,446.0,74.0,3.33,1.1834055185317993,1547793.3148242787,5193554.120403281,,5.5
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,330.0,0.0,,0.0,,,,
Diversion Road,,,,,,,not in roads layer,
Wrights Road,447.0,15.0,0.27,1.7855595350265503,1535221.0648295563,5196847.7639970705,,2.45
Dixon Road,285.0,118.0,0.96,0.6995574831962585,1535943.683844828,5197197.92879266,,3.13
South Eyre Road,1290.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
