t_s,Q_out_m3s,Q_in_m3s,level_mRL,breach_bottom_mRL,breach_bottom_width_m,breach_top_width_m
0,0.000,0.000,226.500,226.500,0.00,0.00
30,0.001,0.000,226.500,226.480,0.23,0.26
60,0.007,0.000,226.500,226.460,0.46,0.52
90,0.018,0.000,226.500,226.440,0.69,0.78
120,0.038,0.000,226.500,226.420,0.92,1.04
150,0.066,0.000,226.500,226.399,1.16,1.30
180,0.104,0.000,226.500,226.379,1.39,1.56
210,0.152,0.000,226.500,226.359,1.62,1.81
240,0.213,0.000,226.500,226.339,1.85,2.07
270,0.286,0.000,226.500,226.319,2.08,2.33
300,0.372,0.000,226.500,226.299,2.31,2.59
330,0.472,0.000,226.500,226.279,2.54,2.85
360,0.586,0.000,226.500,226.259,2.77,3.11
390,0.716,0.000,226.500,226.239,3.00,3.37
420,0.861,0.000,226.500,226.218,3.23,3.63
450,1.023,0.000,226.500,226.198,3.47,3.89
480,1.201,0.000,226.499,226.178,3.70,4.15
510,1.397,0.000,226.499,226.158,3.93,4.41
540,1.611,0.000,226.499,226.138,4.16,4.67
570,1.844,0.000,226.499,226.118,4.39,4.93
600,2.095,0.000,226.499,226.098,4.62,5.18
630,2.365,0.000,226.499,226.078,4.85,5.44
660,2.655,0.000,226.498,226.058,5.08,5.70
690,2.965,0.000,226.498,226.037,5.31,5.96
720,3.296,0.000,226.498,226.017,5.55,6.22
750,3.647,0.000,226.497,225.997,5.78,6.48
780,4.019,0.000,226.497,225.977,6.01,6.74
810,4.413,0.000,226.497,225.957,6.24,7.00
840,4.828,0.000,226.496,225.937,6.47,7.26
870,5.266,0.000,226.496,225.917,6.70,7.52
900,5.726,0.000,226.495,225.897,6.93,7.78
930,6.208,0.000,226.494,225.877,7.16,8.04
960,6.714,0.000,226.494,225.856,7.39,8.30
990,7.242,0.000,226.493,225.836,7.63,8.55
1020,7.793,0.000,226.492,225.816,7.86,8.81
1050,8.368,0.000,226.492,225.796,8.09,9.07
