t_s,Q_out_m3s,Q_in_m3s,level_mRL,breach_bottom_mRL,breach_bottom_width_m,breach_top_width_m
0,0.000,0.000,222.800,224.300,0.00,0.00
30,0.000,0.003,222.800,224.300,0.00,0.00
60,0.000,0.020,222.800,224.300,0.00,0.00
90,0.000,0.054,222.800,224.300,0.00,0.00
120,0.000,0.112,222.800,224.300,0.00,0.00
150,0.000,0.195,222.800,224.300,0.00,0.00
180,0.000,0.307,222.800,224.300,0.00,0.00
210,0.000,0.452,222.800,224.300,0.00,0.00
240,0.000,0.631,222.800,224.300,0.00,0.00
270,0.000,0.846,222.800,224.300,0.00,0.00
300,0.000,1.101,222.800,224.300,0.00,0.00
330,0.000,1.397,222.800,224.300,0.00,0.00
360,0.000,1.736,222.800,224.300,0.00,0.00
390,0.000,2.119,222.800,224.300,0.00,0.00
420,0.000,2.549,222.800,224.300,0.00,0.00
450,0.000,3.028,222.801,224.300,0.00,0.00
480,0.000,3.556,222.801,224.300,0.00,0.00
510,0.000,4.135,222.801,224.300,0.00,0.00
540,0.000,4.767,222.801,224.300,0.00,0.00
570,0.000,5.452,222.801,224.300,0.00,0.00
600,0.000,6.193,222.801,224.300,0.00,0.00
630,0.000,6.990,222.802,224.300,0.00,0.00
660,0.000,7.844,222.802,224.300,0.00,0.00
690,0.000,8.757,222.802,224.300,0.00,0.00
720,0.000,9.729,222.803,224.300,0.00,0.00
750,0.000,10.762,222.803,224.300,0.00,0.00
780,0.000,11.856,222.804,224.300,0.00,0.00
810,0.000,13.012,222.804,224.300,0.00,0.00
840,0.000,14.230,222.805,224.300,0.00,0.00
870,0.000,15.512,222.805,224.300,0.00,0.00
900,0.000,16.857,222.806,224.300,0.00,0.00
930,0.000,18.267,222.807,224.300,0.00,0.00
960,0.000,19.743,222.808,224.300,0.00,0.00
990,0.000,21.283,222.808,224.300,0.00,0.00
1020,0.000,22.889,222.809,224.300,0.00,0.00
1050,0.000,24.561,222.810,224.300,0.00,0.00
1080,0.000,26.299,222.811,224.300,0.00,0.00
1110,0.000,28.104,222.813,224.300,0.00,0.00
1140,0.000,29.974,222.814,224.300,0.00,0.00
1170,0.000,31.912,222.815,224.300,0.00,0.00
1200,0.000,33.916,222.816,224.300,0.00,0.00
1230,0.000,35.986,222.818,224.300,0.00,0.00
1260,0.000,38.122,222.819,224.300,0.00,0.00
1290,0.000,40.324,222.821,224.300,0.00,0.00
1320,0.000,42.592,222.823,224.300,0.00,0.00
1350,0.000,44.926,222.825,224.300,0.00,0.00
1380,0.000,47.324,222.826,224.300,0.00,0.00
1410,0.000,49.787,222.828,224.300,0.00,0.00
1440,0.000,52.314,222.831,224.300,0.00,0.00
1470,0.000,54.904,222.833,224.300,0.00,0.00
1500,0.000,57.557,222.835,224.300,0.00,0.00
1530,0.000,60.273,222.838,224.300,0.00,0.00
1560,0.000,63.050,222.840,224.300,0.00,0.00
1590,0.000,65.887,222.843,224.300,0.00,0.00
1620,0.000,68.784,222.846,224.300,0.00,0.00
1650,0.000,71.740,222.849,224.300,0.00,0.00
1680,0.000,74.754,222.852,224.300,0.00,0.00
1710,0.000,77.825,222.855,224.300,0.00,0.00
1740,0.000,80.951,222.858,224.300,0.00,0.00
1770,0.000,84.132,222.862,224.300,0.00,0.00
1800,0.000,87.367,222.865,224.300,0.00,0.00
1830,0.000,90.654,222.869,224.300,0.00,0.00
1860,0.000,93.993,222.873,224.300,0.00,0.00
1890,0.000,97.381,222.877,224.300,0.00,0.00
1920,0.000,100.818,222.881,224.300,0.00,0.00
1950,0.000,104.301,222.885,224.300,0.00,0.00
1980,0.000,107.831,222.889,224.300,0.00,0.00
2010,0.000,111.404,222.894,224.300,0.00,0.00
2040,0.000,115.020,222.899,224.300,0.00,0.00
2070,0.000,118.678,222.903,224.300,0.00,0.00
2100,0.000,122.375,222.908,224.300,0.00,0.00
2130,0.000,126.110,222.914,224.300,0.00,0.00
2160,0.000,129.882,222.919,224.300,0.00,0.00
2190,0.000,133.688,222.924,224.300,0.00,0.00
2220,0.000,137.527,222.930,224.300,0.00,0.00
2250,0.000,141.397,222.936,224.300,0.00,0.00
2280,0.000,145.298,222.942,224.300,0.00,0.00
2310,0.000,149.225,222.948,224.300,0.00,0.00
2340,0.000,153.179,222.954,224.300,0.00,0.00
2370,0.000,157.158,222.960,224.300,0.00,0.00
2400,0.000,161.158,222.967,224.300,0.00,0.00
2430,0.000,165.179,222.974,224.300,0.00,0.00
2460,0.000,169.219,222.981,224.300,0.00,0.00
2490,0.000,173.276,222.988,224.300,0.00,0.00
2520,0.000,177.348,222.995,224.300,0.00,0.00
2550,0.000,181.433,223.002,224.300,0.00,0.00
2580,0.000,185.529,223.010,224.300,0.00,0.00
2610,0.000,189.635,223.018,224.300,0.00,0.00
2640,0.000,193.748,223.026,224.300,0.00,0.00
2670,0.000,197.867,223.034,224.300,0.00,0.00
2700,0.000,201.989,223.042,224.300,0.00,0.00
2730,0.000,206.113,223.050,224.300,0.00,0.00
2760,0.000,210.217,223.059,224.300,0.00,0.00
2790,0.000,207.899,223.067,224.300,0.00,0.00
2820,0.000,205.616,223.076,224.300,0.00,0.00
2850,0.000,203.364,223.084,224.300,0.00,0.00
2880,0.000,201.146,223.093,224.300,0.00,0.00
2910,0.000,198.958,223.101,224.300,0.00,0.00
2940,0.000,196.802,223.109,224.300,0.00,0.00
2970,0.000,194.677,223.117,224.300,0.00,0.00
3000,0.000,192.581,223.125,224.300,0.00,0.00
3030,0.000,190.515,223.133,224.300,0.00,0.00
3060,0.000,188.478,223.141,224.300,0.00,0.00
3090,0.000,186.469,223.148,224.300,0.00,0.00
3120,0.000,184.489,223.156,224.300,0.00,0.00
3150,0.000,182.536,223.163,224.300,0.00,0.00
3180,0.000,180.610,223.171,224.300,0.00,0.00
3210,0.000,178.710,223.178,224.300,0.00,0.00
3240,0.000,176.837,223.186,224.300,0.00,0.00
3270,0.000,174.989,223.193,224.300,0.00,0.00
3300,0.000,173.167,223.200,224.300,0.00,0.00
3330,0.000,171.370,223.207,224.300,0.00,0.00
3360,0.000,169.597,223.214,224.300,0.00,0.00
3390,0.000,167.848,223.221,224.300,0.00,0.00
3420,0.000,166.122,223.228,224.300,0.00,0.00
3450,0.000,164.420,223.234,224.300,0.00,0.00
3480,0.000,162.741,223.241,224.300,0.00,0.00
3510,0.000,161.084,223.248,224.300,0.00,0.00
3540,0.000,159.449,223.254,224.300,0.00,0.00
3570,0.000,157.836,223.261,224.300,0.00,0.00
3600,0.000,156.244,223.267,224.300,0.00,0.00
3630,0.000,154.674,223.273,224.300,0.00,0.00
3660,0.000,153.124,223.280,224.300,0.00,0.00
3690,0.000,151.594,223.286,224.300,0.00,0.00
3720,0.000,150.085,223.292,224.300,0.00,0.00
3750,0.000,148.595,223.298,224.300,0.00,0.00
3780,0.000,147.124,223.304,224.300,0.00,0.00
3810,0.000,145.673,223.310,224.300,0.00,0.00
3840,0.000,144.240,223.316,224.300,0.00,0.00
3870,0.000,142.826,223.322,224.300,0.00,0.00
3900,0.000,141.430,223.328,224.300,0.00,0.00
3930,0.000,140.052,223.333,224.300,0.00,0.00
3960,0.000,138.692,223.339,224.300,0.00,0.00
3990,0.000,137.348,223.345,224.300,0.00,0.00
4020,0.000,136.022,223.350,224.300,0.00,0.00
4050,0.000,134.713,223.356,224.300,0.00,0.00
4080,0.000,133.420,223.361,224.300,0.00,0.00
4110,0.000,132.144,223.366,224.300,0.00,0.00
4140,0.000,130.883,223.372,224.300,0.00,0.00
4170,0.000,129.639,223.377,224.300,0.00,0.00
4200,0.000,128.410,223.382,224.300,0.00,0.00
4230,0.000,127.196,223.387,224.300,0.00,0.00
4260,0.000,125.997,223.393,224.300,0.00,0.00
4290,0.000,124.813,223.398,224.300,0.00,0.00
4320,0.000,123.644,223.403,224.300,0.00,0.00
4350,0.000,122.489,223.408,224.300,0.00,0.00
4380,0.000,121.348,223.413,224.300,0.00,0.00
4410,0.000,120.221,223.418,224.300,0.00,0.00
4440,0.000,119.108,223.422,224.300,0.00,0.00
4470,0.000,118.008,223.427,224.300,0.00,0.00
4500,0.000,116.922,223.432,224.300,0.00,0.00
4530,0.000,115.849,223.437,224.300,0.00,0.00
4560,0.000,114.789,223.441,224.300,0.00,0.00
4590,0.000,113.741,223.446,224.300,0.00,0.00
4620,0.000,112.706,223.451,224.300,0.00,0.00
4650,0.000,111.684,223.455,224.300,0.00,0.00
4680,0.000,110.674,223.460,224.300,0.00,0.00
4710,0.000,109.675,223.464,224.300,0.00,0.00
4740,0.000,108.689,223.468,224.300,0.00,0.00
4770,0.000,107.714,223.473,224.300,0.00,0.00
4800,0.000,106.751,223.477,224.300,0.00,0.00
4830,0.000,105.799,223.481,224.300,0.00,0.00
4860,0.000,104.858,223.486,224.300,0.00,0.00
4890,0.000,103.928,223.490,224.300,0.00,0.00
4920,0.000,103.009,223.494,224.300,0.00,0.00
4950,0.000,102.101,223.498,224.300,0.00,0.00
4980,0.000,101.203,223.502,224.300,0.00,0.00
5010,0.000,100.315,223.506,224.300,0.00,0.00
5040,0.000,99.438,223.510,224.300,0.00,0.00
5070,0.000,98.571,223.514,224.300,0.00,0.00
5100,0.000,97.714,223.518,224.300,0.00,0.00
5130,0.000,96.867,223.522,224.300,0.00,0.00
5160,0.000,96.029,223.526,224.300,0.00,0.00
5190,0.000,95.201,223.530,224.300,0.00,0.00
5220,0.000,94.382,223.534,224.300,0.00,0.00
5250,0.000,93.573,223.538,224.300,0.00,0.00
5280,0.000,92.772,223.541,224.300,0.00,0.00
5310,0.000,91.981,223.545,224.300,0.00,0.00
5340,0.000,91.198,223.549,224.300,0.00,0.00
5370,0.000,90.425,223.552,224.300,0.00,0.00
5400,0.000,89.660,223.556,224.300,0.00,0.00
5430,0.000,88.903,223.560,224.300,0.00,0.00
5460,0.000,88.155,223.563,224.300,0.00,0.00
5490,0.000,87.415,223.567,224.300,0.00,0.00
5520,0.000,86.683,223.570,224.300,0.00,0.00
5550,0.000,85.960,223.574,224.300,0.00,0.00
5580,0.000,85.244,223.577,224.300,0.00,0.00
5610,0.000,84.536,223.581,224.300,0.00,0.00
5640,0.000,83.836,223.584,224.300,0.00,0.00
5670,0.000,83.144,223.587,224.300,0.00,0.00
5700,0.000,82.459,223.591,224.300,0.00,0.00
5730,0.000,81.781,223.594,224.300,0.00,0.00
5760,0.000,81.111,223.597,224.300,0.00,0.00
5790,0.000,80.448,223.600,224.290,0.06,0.08
5820,0.000,79.792,223.604,224.217,0.48,0.65
5850,0.000,79.143,223.607,224.143,0.91,1.22
5880,0.000,78.502,223.610,224.069,1.33,1.79
5910,0.000,77.867,223.613,223.996,1.76,2.37
5940,0.000,77.238,223.616,223.922,2.18,2.94
5970,0.000,76.617,223.619,223.849,2.61,3.51
6000,0.000,76.002,223.622,223.775,3.03,4.08
6030,0.000,75.393,223.625,223.702,3.46,4.66
6060,0.000,74.791,223.628,223.628,3.88,5.23
6090,0.159,74.196,223.631,223.554,4.31,5.80
6120,0.497,73.606,223.634,223.481,4.73,6.37
6150,1.004,73.023,223.637,223.407,5.16,6.94
6180,1.684,72.446,223.640,223.334,5.58,7.52
6210,2.548,71.875,223.643,223.260,6.01,8.09
6240,3.605,71.309,223.646,223.186,6.43,8.66
6270,4.864,70.750,223.648,223.113,6.86,9.23
6300,6.335,70.196,223.651,223.039,7.29,9.81
6330,8.026,69.649,223.654,222.966,7.71,10.38
6360,9.946,69.106,223.656,222.892,8.14,10.95
6390,12.103,68.570,223.658,222.819,8.56,11.52
6420,14.504,68.038,223.660,222.745,8.99,12.10
6450,17.156,67.513,223.663,222.671,9.41,12.67
6480,20.067,66.992,223.664,222.598,9.84,13.24
6510,23.243,66.477,223.666,222.524,10.26,13.81
6540,26.690,65.967,223.668,222.451,10.69,14.39
6570,30.413,65.463,223.669,222.377,11.11,14.96
6600,34.418,64.963,223.671,222.303,11.54,15.53
6630,38.710,64.468,223.672,222.230,11.96,16.10
6660,43.293,63.979,223.673,222.156,12.39,16.67
6690,48.173,63.494,223.674,222.083,12.81,17.25
6720,53.353,63.014,223.674,222.009,13.24,17.82
6750,58.836,62.539,223.674,221.936,13.66,18.39
6780,64.627,62.068,223.674,221.862,14.09,18.96
6810,70.728,61.603,223.674,221.788,14.51,19.54
6840,77.141,61.142,223.674,221.715,14.94,20.11
6870,83.870,60.685,223.673,221.641,15.36,20.68
6900,90.916,60.233,223.672,221.568,15.79,21.25
6930,98.281,59.785,223.670,221.494,16.21,21.83
6960,105.966,59.342,223.669,221.420,16.64,22.40
6990,113.973,58.903,223.667,221.347,17.06,22.97
7020,122.302,58.469,223.664,221.273,17.49,23.54
7050,130.953,58.038,223.662,221.200,17.92,24.12
7080,139.928,57.612,223.658,221.126,18.34,24.69
7110,149.225,57.190,223.655,221.053,18.77,25.26
7140,158.843,56.772,223.651,220.979,19.19,25.83
7170,168.783,56.358,223.647,220.905,19.62,26.41
7200,179.043,55.948,223.642,220.832,20.04,26.98
7230,189.621,55.542,223.637,220.758,20.47,27.55
7260,200.516,55.140,223.631,220.685,20.89,28.12
7290,211.726,54.742,223.625,220.611,21.32,28.69
7320,223.247,54.347,223.619,220.538,21.74,29.27
7350,235.078,53.956,223.612,220.464,22.17,29.84
7380,247.216,53.569,223.604,220.390,22.59,30.41
7410,259.657,53.186,223.596,220.317,23.02,30.98
7440,272.397,52.806,223.588,220.243,23.44,31.56
7470,285.432,52.430,223.579,220.170,23.87,32.13
7500,298.759,52.057,223.569,220.096,24.29,32.70
7530,312.373,51.688,223.559,220.022,24.72,33.27
7560,326.269,51.322,223.548,219.949,25.14,33.85
7590,340.442,50.960,223.537,219.875,25.57,34.42
7620,354.887,50.601,223.525,219.802,25.99,34.99
7650,369.598,50.246,223.512,219.728,26.42,35.56
7680,384.569,49.893,223.499,219.655,26.84,36.14
7710,399.795,49.544,223.485,219.581,27.27,36.71
7740,415.268,49.199,223.471,219.507,27.69,37.28
7770,430.984,48.856,223.456,219.434,28.12,37.85
7800,446.933,48.517,223.440,219.360,28.55,38.42
7830,463.110,48.180,223.423,219.287,28.97,39.00
7860,479.508,47.847,223.406,219.213,29.40,39.57
7890,496.118,47.517,223.388,219.139,29.82,40.14
7920,512.934,47.190,223.370,219.066,30.25,40.71
7950,529.946,46.865,223.351,218.992,30.67,41.29
7980,547.149,46.544,223.331,218.919,31.10,41.86
8010,564.532,46.226,223.310,218.845,31.52,42.43
8040,582.088,45.910,223.289,218.772,31.95,43.00
8070,599.807,45.598,223.266,218.698,32.37,43.58
8100,617.683,45.288,223.243,218.624,32.80,44.15
8130,635.704,44.981,223.220,218.551,33.22,44.72
8160,653.863,44.676,223.195,218.477,33.65,45.29
8190,672.151,44.375,223.170,218.404,34.07,45.87
8220,690.557,44.076,223.144,218.330,34.50,46.44
8250,709.073,43.780,223.117,218.256,34.92,47.01
8280,727.689,43.486,223.089,218.183,35.35,47.58
8310,746.396,43.195,223.061,218.109,35.77,48.16
8340,765.184,42.907,223.031,218.036,36.20,48.73
8370,784.043,42.621,223.001,217.962,36.62,49.30
8400,802.963,42.337,222.970,217.889,37.05,49.87
8430,821.935,42.057,222.938,217.815,37.47,50.44
8460,840.948,41.778,222.906,217.741,37.90,51.02
8490,859.993,41.502,222.872,217.668,38.32,51.59
8520,879.060,41.229,222.838,217.594,38.75,52.16
8550,898.138,40.957,222.802,217.521,39.18,52.73
8580,917.218,40.689,222.766,217.447,39.60,53.31
8610,936.290,40.422,222.729,217.373,40.03,53.88
8640,955.343,40.158,222.691,217.300,40.45,54.45
8670,974.368,39.896,222.653,217.226,40.88,55.02
8700,993.355,39.636,222.613,217.153,41.30,55.60
8730,1012.293,39.379,222.572,217.079,41.73,56.17
8760,1031.173,39.124,222.531,217.006,42.15,56.74
8790,1049.985,38.871,222.489,216.932,42.58,57.31
8820,1068.719,38.620,222.445,216.858,43.00,57.89
8850,1087.366,38.371,222.401,216.785,43.43,58.46
8880,1078.495,38.125,222.357,216.774,43.49,58.54
8910,1064.954,37.880,222.313,216.774,43.49,58.54
8940,1051.627,37.638,222.269,216.774,43.49,58.54
8970,1038.508,37.397,222.226,216.774,43.49,58.54
9000,1025.595,37.159,222.184,216.774,43.49,58.54
9030,1012.884,36.923,222.141,216.774,43.49,58.54
9060,1000.370,36.688,222.100,216.774,43.49,58.54
9090,988.050,36.456,222.058,216.774,43.49,58.54
