t_s,Q_out_m3s,Q_in_m3s,level_mRL,breach_bottom_mRL,breach_bottom_width_m,breach_top_width_m
0,0.000,0.000,222.800,224.300,0.00,0.00
30,0.000,0.007,222.800,224.300,0.00,0.00
60,0.000,0.038,222.800,224.300,0.00,0.00
90,0.000,0.104,222.800,224.300,0.00,0.00
120,0.000,0.213,222.800,224.300,0.00,0.00
150,0.000,0.372,222.800,224.300,0.00,0.00
180,0.000,0.586,222.800,224.300,0.00,0.00
210,0.000,0.862,222.800,224.300,0.00,0.00
240,0.000,1.203,222.800,224.300,0.00,0.00
270,0.000,1.614,222.800,224.300,0.00,0.00
300,0.000,2.100,222.800,224.300,0.00,0.00
330,0.000,2.663,222.800,224.300,0.00,0.00
360,0.000,3.308,222.800,224.300,0.00,0.00
390,0.000,4.037,222.801,224.300,0.00,0.00
420,0.000,4.854,222.801,224.300,0.00,0.00
450,0.000,5.762,222.801,224.300,0.00,0.00
480,0.000,6.764,222.801,224.300,0.00,0.00
510,0.000,7.861,222.802,224.300,0.00,0.00
540,0.000,9.057,222.802,224.300,0.00,0.00
570,0.000,10.352,222.802,224.300,0.00,0.00
600,0.000,11.750,222.803,224.300,0.00,0.00
630,0.000,13.252,222.803,224.300,0.00,0.00
660,0.000,14.860,222.804,224.300,0.00,0.00
690,0.000,16.575,222.805,224.300,0.00,0.00
720,0.000,18.397,222.805,224.300,0.00,0.00
750,0.000,20.329,222.806,224.300,0.00,0.00
780,0.000,22.372,222.807,224.300,0.00,0.00
810,0.000,24.525,222.808,224.300,0.00,0.00
840,0.000,26.790,222.809,224.300,0.00,0.00
870,0.000,29.166,222.810,224.300,0.00,0.00
900,0.000,31.655,222.811,224.300,0.00,0.00
930,0.000,34.255,222.813,224.300,0.00,0.00
960,0.000,36.968,222.814,224.300,0.00,0.00
990,0.000,39.792,222.816,224.300,0.00,0.00
1020,0.000,42.727,222.818,224.300,0.00,0.00
1050,0.000,45.773,222.819,224.300,0.00,0.00
1080,0.000,48.928,222.821,224.300,0.00,0.00
1110,0.000,52.192,222.824,224.300,0.00,0.00
1140,0.000,55.564,222.826,224.300,0.00,0.00
1170,0.000,59.042,222.828,224.300,0.00,0.00
1200,0.000,62.624,222.831,224.300,0.00,0.00
1230,0.000,66.310,222.833,224.300,0.00,0.00
1260,0.000,70.097,222.836,224.300,0.00,0.00
1290,0.000,73.984,222.839,224.300,0.00,0.00
1320,0.000,77.968,222.842,224.300,0.00,0.00
1350,0.000,82.048,222.846,224.300,0.00,0.00
1380,0.000,86.220,222.849,224.300,0.00,0.00
1410,0.000,90.483,222.853,224.300,0.00,0.00
1440,0.000,94.833,222.857,224.300,0.00,0.00
1470,0.000,99.269,222.861,224.300,0.00,0.00
1500,0.000,103.786,222.865,224.300,0.00,0.00
1530,0.000,108.383,222.869,224.300,0.00,0.00
1560,0.000,113.056,222.874,224.300,0.00,0.00
1590,0.000,117.802,222.879,224.300,0.00,0.00
1620,0.000,122.617,222.884,224.300,0.00,0.00
1650,0.000,127.498,222.889,224.300,0.00,0.00
1680,0.000,132.442,222.894,224.300,0.00,0.00
1710,0.000,137.446,222.900,224.300,0.00,0.00
1740,0.000,142.504,222.906,224.300,0.00,0.00
1770,0.000,147.615,222.912,224.300,0.00,0.00
1800,0.000,152.773,222.918,224.300,0.00,0.00
1830,0.000,157.976,222.924,224.300,0.00,0.00
1860,0.000,163.218,222.931,224.300,0.00,0.00
1890,0.000,168.497,222.938,224.300,0.00,0.00
1920,0.000,173.809,222.945,224.300,0.00,0.00
1950,0.000,179.148,222.952,224.300,0.00,0.00
1980,0.000,184.512,222.960,224.300,0.00,0.00
2010,0.000,189.897,222.967,224.300,0.00,0.00
2040,0.000,195.297,222.975,224.300,0.00,0.00
2070,0.000,200.710,222.984,224.300,0.00,0.00
2100,0.000,206.130,222.992,224.300,0.00,0.00
2130,0.000,211.555,223.001,224.300,0.00,0.00
2160,0.000,216.980,223.009,224.300,0.00,0.00
2190,0.000,222.400,223.019,224.300,0.00,0.00
2220,0.000,227.813,223.028,224.300,0.00,0.00
2250,0.000,233.214,223.037,224.300,0.00,0.00
2280,0.000,238.599,223.047,224.300,0.00,0.00
