t_s,Q_out_m3s,Q_in_m3s,level_mRL,breach_bottom_mRL,breach_bottom_width_m,breach_top_width_m
0,0.000,0.000,222.800,224.300,0.00,0.00
30,0.000,0.001,222.800,224.300,0.00,0.00
60,0.000,0.007,222.800,224.300,0.00,0.00
90,0.000,0.018,222.800,224.300,0.00,0.00
120,0.000,0.038,222.800,224.300,0.00,0.00
150,0.000,0.066,222.800,224.300,0.00,0.00
180,0.000,0.104,222.800,224.300,0.00,0.00
210,0.000,0.152,222.800,224.300,0.00,0.00
240,0.000,0.213,222.800,224.300,0.00,0.00
270,0.000,0.286,222.800,224.300,0.00,0.00
300,0.000,0.372,222.800,224.300,0.00,0.00
330,0.000,0.472,222.800,224.300,0.00,0.00
360,0.000,0.586,222.800,224.300,0.00,0.00
390,0.000,0.716,222.800,224.300,0.00,0.00
420,0.000,0.861,222.800,224.300,0.00,0.00
450,0.000,1.023,222.800,224.300,0.00,0.00
480,0.000,1.201,222.800,224.300,0.00,0.00
510,0.000,1.397,222.800,224.300,0.00,0.00
540,0.000,1.611,222.800,224.300,0.00,0.00
570,0.000,1.844,222.800,224.300,0.00,0.00
600,0.000,2.095,222.800,224.300,0.00,0.00
630,0.000,2.365,222.801,224.300,0.00,0.00
660,0.000,2.655,222.801,224.300,0.00,0.00
690,0.000,2.965,222.801,224.300,0.00,0.00
720,0.000,3.296,222.801,224.300,0.00,0.00
750,0.000,3.647,222.801,224.300,0.00,0.00
780,0.000,4.019,222.801,224.300,0.00,0.00
810,0.000,4.413,222.801,224.300,0.00,0.00
840,0.000,4.828,222.802,224.300,0.00,0.00
870,0.000,5.266,222.802,224.300,0.00,0.00
900,0.000,5.726,222.802,224.300,0.00,0.00
930,0.000,6.208,222.802,224.300,0.00,0.00
960,0.000,6.714,222.803,224.300,0.00,0.00
990,0.000,7.242,222.803,224.300,0.00,0.00
1020,0.000,7.793,222.803,224.300,0.00,0.00
1050,0.000,8.368,222.804,224.300,0.00,0.00
1080,0.000,8.967,222.804,224.300,0.00,0.00
1110,0.000,9.589,222.804,224.300,0.00,0.00
1140,0.000,10.235,222.805,224.300,0.00,0.00
1170,0.000,10.905,222.805,224.300,0.00,0.00
1200,0.000,11.599,222.806,224.300,0.00,0.00
1230,0.000,12.317,222.806,224.300,0.00,0.00
1260,0.000,13.060,222.807,224.300,0.00,0.00
1290,0.000,13.827,222.807,224.300,0.00,0.00
1320,0.000,14.618,222.808,224.300,0.00,0.00
1350,0.000,15.434,222.808,224.300,0.00,0.00
1380,0.000,16.274,222.809,224.300,0.00,0.00
1410,0.000,17.138,222.810,224.300,0.00,0.00
1440,0.000,18.027,222.810,224.300,0.00,0.00
1470,0.000,18.940,222.811,224.300,0.00,0.00
1500,0.000,19.878,222.812,224.300,0.00,0.00
1530,0.000,20.839,222.813,224.300,0.00,0.00
1560,0.000,21.825,222.814,224.300,0.00,0.00
1590,0.000,22.835,222.815,224.300,0.00,0.00
1620,0.000,23.868,222.816,224.300,0.00,0.00
1650,0.000,24.926,222.817,224.300,0.00,0.00
1680,0.000,26.007,222.818,224.300,0.00,0.00
1710,0.000,27.111,222.819,224.300,0.00,0.00
1740,0.000,28.238,222.820,224.300,0.00,0.00
1770,0.000,29.389,222.821,224.300,0.00,0.00
1800,0.000,30.563,222.822,224.300,0.00,0.00
1830,0.000,31.759,222.824,224.300,0.00,0.00
1860,0.000,32.977,222.825,224.300,0.00,0.00
1890,0.000,34.218,222.826,224.300,0.00,0.00
1920,0.000,35.480,222.828,224.300,0.00,0.00
1950,0.000,36.764,222.829,224.300,0.00,0.00
1980,0.000,38.070,222.831,224.300,0.00,0.00
2010,0.000,39.396,222.833,224.300,0.00,0.00
2040,0.000,40.743,222.834,224.300,0.00,0.00
2070,0.000,42.110,222.836,224.300,0.00,0.00
2100,0.000,43.497,222.838,224.300,0.00,0.00
2130,0.000,44.904,222.840,224.300,0.00,0.00
2160,0.000,46.330,222.842,224.300,0.00,0.00
2190,0.000,47.775,222.843,224.300,0.00,0.00
2220,0.000,49.238,222.845,224.300,0.00,0.00
2250,0.000,50.720,222.848,224.300,0.00,0.00
2280,0.000,52.218,222.850,224.300,0.00,0.00
2310,0.000,53.735,222.852,224.300,0.00,0.00
2340,0.000,55.267,222.854,224.300,0.00,0.00
2370,0.000,56.817,222.856,224.300,0.00,0.00
2400,0.000,58.382,222.859,224.300,0.00,0.00
2430,0.000,59.962,222.861,224.300,0.00,0.00
2460,0.000,61.557,222.864,224.300,0.00,0.00
2490,0.000,63.167,222.866,224.300,0.00,0.00
2520,0.000,64.790,222.869,224.300,0.00,0.00
2550,0.000,66.427,222.872,224.300,0.00,0.00
2580,0.000,68.077,222.875,224.300,0.00,0.00
2610,0.000,69.739,222.877,224.300,0.00,0.00
2640,0.000,71.413,222.880,224.300,0.00,0.00
2670,0.000,73.099,222.883,224.300,0.00,0.00
2700,0.000,74.795,222.886,224.300,0.00,0.00
2730,0.000,76.501,222.890,224.300,0.00,0.00
2760,0.000,78.217,222.893,224.300,0.00,0.00
2790,0.000,79.943,222.896,224.300,0.00,0.00
2820,0.000,81.676,222.899,224.300,0.00,0.00
2850,0.000,83.418,222.903,224.300,0.00,0.00
2880,0.000,85.168,222.906,224.300,0.00,0.00
2910,0.000,86.924,222.910,224.300,0.00,0.00
2940,0.000,88.686,222.914,224.300,0.00,0.00
2970,0.000,90.455,222.917,224.300,0.00,0.00
3000,0.000,92.228,222.921,224.300,0.00,0.00
3030,0.000,94.007,222.925,224.300,0.00,0.00
3060,0.000,95.789,222.929,224.300,0.00,0.00
3090,0.000,97.575,222.933,224.300,0.00,0.00
3120,0.000,99.363,222.937,224.300,0.00,0.00
3150,0.000,101.154,222.941,224.300,0.00,0.00
3180,0.000,102.947,222.945,224.300,0.00,0.00
3210,0.000,104.741,222.950,224.300,0.00,0.00
3240,0.000,106.536,222.954,224.300,0.00,0.00
3270,0.000,108.330,222.958,224.300,0.00,0.00
3300,0.000,110.124,222.963,224.300,0.00,0.00
3330,0.000,111.918,222.968,224.300,0.00,0.00
3360,0.000,113.709,222.972,224.300,0.00,0.00
3390,0.000,115.498,222.977,224.300,0.00,0.00
3420,0.000,117.285,222.982,224.300,0.00,0.00
3450,0.000,119.068,222.987,224.300,0.00,0.00
3480,0.000,120.848,222.992,224.300,0.00,0.00
3510,0.000,122.623,222.997,224.300,0.00,0.00
3540,0.000,124.394,223.002,224.300,0.00,0.00
3570,0.000,126.159,223.007,224.300,0.00,0.00
3600,0.000,127.918,223.012,224.300,0.00,0.00
3630,0.000,129.670,223.017,224.300,0.00,0.00
3660,0.000,131.416,223.023,224.300,0.00,0.00
3690,0.000,133.154,223.028,224.300,0.00,0.00
3720,0.000,134.884,223.034,224.300,0.00,0.00
3750,0.000,136.606,223.039,224.300,0.00,0.00
3780,0.000,138.319,223.045,224.300,0.00,0.00
3810,0.000,140.023,223.051,224.300,0.00,0.00
3840,0.000,141.717,223.057,224.300,0.00,0.00
3870,0.000,143.400,223.062,224.300,0.00,0.00
3900,0.000,145.073,223.068,224.300,0.00,0.00
3930,0.000,146.735,223.074,224.300,0.00,0.00
3960,0.000,148.385,223.080,224.300,0.00,0.00
3990,0.000,150.023,223.087,224.300,0.00,0.00
4020,0.000,151.648,223.093,224.300,0.00,0.00
4050,0.000,153.261,223.099,224.300,0.00,0.00
4080,0.000,154.861,223.105,224.300,0.00,0.00
4110,0.000,156.447,223.112,224.300,0.00,0.00
4140,0.000,158.019,223.118,224.300,0.00,0.00
4170,0.000,159.577,223.125,224.300,0.00,0.00
4200,0.000,161.120,223.131,224.300,0.00,0.00
4230,0.000,162.648,223.138,224.300,0.00,0.00
4260,0.000,164.160,223.145,224.300,0.00,0.00
4290,0.000,165.658,223.151,224.300,0.00,0.00
4320,0.000,167.139,223.158,224.300,0.00,0.00
4350,0.000,168.604,223.165,224.300,0.00,0.00
4380,0.000,170.052,223.172,224.300,0.00,0.00
4410,0.000,171.483,223.179,224.300,0.00,0.00
4440,0.000,172.898,223.186,224.300,0.00,0.00
4470,0.000,174.295,223.193,224.300,0.00,0.00
4500,0.000,175.674,223.200,224.300,0.00,0.00
4530,0.000,177.036,223.208,224.300,0.00,0.00
4560,0.000,178.380,223.215,224.300,0.00,0.00
4590,0.000,179.705,223.222,224.300,0.00,0.00
4620,0.000,181.012,223.229,224.300,0.00,0.00
4650,0.000,182.300,223.237,224.300,0.00,0.00
4680,0.000,183.570,223.244,224.300,0.00,0.00
4710,0.000,184.820,223.252,224.300,0.00,0.00
4740,0.000,186.051,223.259,224.300,0.00,0.00
4770,0.000,187.263,223.267,224.300,0.00,0.00
4800,0.000,188.456,223.275,224.300,0.00,0.00
4830,0.000,189.629,223.282,224.300,0.00,0.00
4860,0.000,190.782,223.290,224.300,0.00,0.00
4890,0.000,191.916,223.298,224.300,0.00,0.00
4920,0.000,193.029,223.306,224.300,0.00,0.00
4950,0.000,194.123,223.314,224.300,0.00,0.00
4980,0.000,195.196,223.322,224.300,0.00,0.00
5010,0.000,196.250,223.330,224.300,0.00,0.00
5040,0.000,197.283,223.338,224.300,0.00,0.00
5070,0.000,198.296,223.346,224.300,0.00,0.00
5100,0.000,199.288,223.354,224.300,0.00,0.00
5130,0.000,200.261,223.362,224.300,0.00,0.00
5160,0.000,201.213,223.370,224.300,0.00,0.00
5190,0.000,202.145,223.378,224.300,0.00,0.00
5220,0.000,203.056,223.386,224.300,0.00,0.00
5250,0.000,203.947,223.395,224.300,0.00,0.00
5280,0.000,204.818,223.403,224.300,0.00,0.00
