road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,81.0,1.42,0.6431581974029541,1537724.5687252497,5197370.246059906,,3.59
Wolffs Road,415.0,84.0,2.09,0.7122836709022522,1540049.9146069223,5196340.222522129,,4.26
Poyntzs Road,711.0,81.0,2.89,0.6920017600059509,1542624.238748233,5195723.871330175,,5.06
Pesters Road,291.0,65.0,3.33,0.6497934460639954,1544235.2118815656,5195620.348035827,,5.5
Downs Road,446.0,53.0,4.5,0.8297727704048157,1548245.025083283,5194905.214102151,,6.67
Browns Road,470.0,91.0,5.88,0.41204962134361267,1551718.7876088747,5191958.598122311,,8.05
Two Chain Road,548.0,68.0,7.42,0.37896931171417236,1555236.5855506228,5191520.743741084,,9.59
Diversion Road,98.0,25.0,9.62,0.31654778122901917,1560656.5740885863,5193097.827711399,,11.79
Wrights Road,447.0,24.0,0.63,1.167952299118042,1535396.1677197958,5197442.747589468,,2.8
Dixon Road,285.0,130.0,0.3,1.205034613609314,1534866.1754893526,5197521.32194156,,2.47
South Eyre Road,1465.0,93.0,8.79,0.4735869765281677,1558544.3431618882,5193748.880279221,,10.96
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,18.0,0.58,1.0996646881103516,1535346.8918373112,5197609.710656399,,2.75
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
