road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,116.0,1.0,0.8971675038337708,1537651.5911381086,5197131.150553524,,3.17
Wolffs Road,415.0,121.0,1.5,0.976313591003418,1539939.9283801797,5196078.91174149,,3.67
Poyntzs Road,711.0,136.0,2.08,0.9889748096466064,1542559.320174249,5195561.359885806,,4.25
Pesters Road,291.0,83.0,2.42,0.8710545301437378,1544315.5985427112,5195746.989200975,,4.59
Downs Road,446.0,75.0,3.42,1.1741856336593628,1547793.3148242787,5193554.120403281,,5.59
Browns Road,470.0,140.0,4.5,0.5916475653648376,1552041.1968839876,5192430.003829287,,6.67
Two Chain Road,548.0,109.0,5.69,0.5283191800117493,1555337.8146257182,5191721.685708716,,7.86
Diversion Road,98.0,65.0,7.68,0.437684565782547,1560656.5740885863,5193097.827711399,,9.85
Wrights Road,447.0,34.0,0.42,1.8166759014129639,1535374.599977405,5197370.915615472,,2.59
Dixon Road,285.0,165.0,0.17,2.1363885402679443,1534866.1754893526,5197521.32194156,,2.35
South Eyre Road,1465.0,159.0,6.87,0.5334450006484985,1558544.3431618882,5193748.880279221,,9.04
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,24.0,0.39,1.8162046670913696,1535328.7277995877,5197656.294642204,,2.56
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
