road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,71.0,1.4,0.6049641966819763,1537745.465205804,5197442.276172361,,3.57
Wolffs Road,415.0,89.0,2.1,0.7054076790809631,1540078.7349094653,5196409.464057073,,4.27
Poyntzs Road,711.0,80.0,2.85,0.6842840313911438,1542624.238748233,5195723.871330175,,5.02
Pesters Road,291.0,66.0,3.32,0.6955749988555908,1544355.791873284,5195810.309783548,,5.5
Downs Road,446.0,0.0,,0.0,,,,
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,548.0,0.0,,0.0,,,,
Diversion Road,98.0,0.0,,0.0,,,,
Wrights Road,447.0,26.0,0.55,1.2002743482589722,1535381.7892248686,5197394.859606804,,2.72
Dixon Road,285.0,125.0,0.3,1.3064165115356445,1534890.1484962283,5197514.230048911,,2.47
South Eyre Road,1465.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,19.0,0.57,1.0827007293701172,1535365.0558750348,5197563.126670592,,2.74
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
