road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,82.0,1.0,0.6630610227584839,1537745.465205804,5197442.276172361,,2.61
Wolffs Road,415.0,89.0,1.57,0.7308858036994934,1540088.3416769796,5196432.544568721,,3.17
Poyntzs Road,711.0,88.0,2.29,0.6843258738517761,1542624.238748233,5195723.871330175,,3.89
Pesters Road,291.0,68.0,2.73,0.6940538287162781,1544328.9963195687,5195768.096061832,,4.34
Downs Road,446.0,36.0,3.91,0.746064305305481,1548253.025024988,5194928.899560396,,5.51
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,548.0,0.0,,0.0,,,,
Diversion Road,98.0,0.0,,0.0,,,,
Wrights Road,447.0,27.0,0.38,1.3524025678634644,1535388.9784723322,5197418.803598136,,1.99
Dixon Road,285.0,129.0,0.17,1.5721138715744019,1534890.1484962283,5197514.230048911,,1.78
South Eyre Road,1465.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,19.0,0.39,1.2479466199874878,1535319.6457807259,5197679.586635108,,2.0
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
