road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,115.0,0.95,0.8847092390060425,1537738.4997122858,5197418.266134877,,3.12
Wolffs Road,415.0,117.0,1.47,0.9605699181556702,1540088.3416769796,5196432.544568721,,3.64
Poyntzs Road,711.0,135.0,2.07,0.9720544219017029,1542615.063921122,5195700.615738427,,4.24
Pesters Road,291.0,78.0,2.42,0.919376790523529,1544355.791873284,5195810.309783548,,4.6
Downs Road,446.0,77.0,3.37,1.1582517623901367,1547871.8304515202,5193817.493864476,,5.54
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,548.0,0.0,,0.0,,,,
Diversion Road,98.0,0.0,,0.0,,,,
Wrights Road,447.0,39.0,0.35,1.8252496719360352,1535388.9784723322,5197418.803598136,,2.52
Dixon Road,285.0,165.0,0.14,2.6021432876586914,1534890.1484962283,5197514.230048911,,2.31
South Eyre Road,1465.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,26.0,0.36,1.7887157201766968,1535319.6457807259,5197679.586635108,,2.53
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
