osm_id,building,E,N,max_depth_m,max_speed_ms,max_dv_m2s,hazard_H,arrival_h,at_risk_depth0.5,at_risk_gtH2
1316589866,yes,1537944.0,5194336.0,0.12,0.29,0.04,1,,False,False
1316589869,yes,1537960.0,5194414.0,0.6,0.36,0.21,3,1.43,True,True
1468449535,yes,1535551.0,5197234.0,0.16,0.55,0.1,1,,False,False
1468449545,yes,1535353.0,5197097.0,0.21,0.49,0.14,1,,False,False
1468449546,yes,1535350.0,5197114.0,0.13,0.3,0.07,1,,False,False
1468449549,yes,1536392.0,5196884.0,0.13,0.5,0.08,1,,False,False
1468449550,yes,1536383.0,5196884.0,0.13,0.5,0.08,1,,False,False
1468449551,yes,1536396.0,5196867.0,0.14,0.63,0.1,1,,False,False
1468449552,yes,1536399.0,5196863.0,0.14,0.63,0.1,1,,False,False
1468449554,yes,1536464.0,5196901.0,0.22,0.65,0.16,1,1.14,False,False
1468953840,yes,1537414.0,5196122.0,0.61,1.56,0.95,4,0.83,True,True
1468953841,house,1537440.0,5196136.0,0.61,1.56,0.95,4,0.83,True,True
1468953842,house,1537107.0,5195633.0,0.27,0.91,0.28,1,,False,False
1468953843,yes,1537069.0,5195645.0,0.27,0.87,0.26,1,1.03,False,False
1316588609,yes,1542094.0,5194719.0,0.65,1.42,0.92,4,1.97,True,True
1316588610,yes,1542074.0,5194728.0,0.66,1.41,0.93,4,1.96,True,True
1316588611,yes,1542089.0,5194697.0,0.65,1.43,0.93,4,1.95,True,True
1316588612,yes,1542067.0,5194704.0,0.65,1.41,0.92,4,1.94,True,True
1316588613,yes,1542042.0,5194709.0,0.65,1.4,0.92,4,1.92,True,True
1316588614,yes,1542017.0,5194711.0,0.67,1.37,0.91,4,1.92,True,True
1316588615,yes,1541993.0,5194688.0,0.7,1.38,0.96,4,1.92,True,True
1316588616,yes,1542055.0,5194653.0,0.7,1.44,1.0,5,1.92,True,True
1316588624,yes,1541800.0,5194916.0,0.51,1.22,0.62,4,1.92,True,True
1316588625,yes,1541863.0,5194946.0,0.33,1.01,0.34,2,1.99,False,False
1316588626,yes,1541852.0,5194955.0,0.37,1.05,0.4,2,1.98,False,False
1316588627,yes,1541844.0,5194954.0,0.37,1.05,0.4,2,1.98,False,False
1316588628,yes,1541694.0,5195048.0,0.35,0.93,0.32,2,2.07,False,False
1316588629,yes,1541654.0,5195015.0,0.36,0.99,0.35,2,1.99,False,False
1316588630,yes,1541693.0,5194983.0,0.39,0.98,0.39,2,2.0,False,False
1316588631,yes,1541691.0,5194966.0,0.42,1.02,0.43,2,1.97,False,False
1316588632,yes,1541615.0,5194947.0,0.4,1.07,0.43,2,1.92,False,False
1316588633,yes,1541659.0,5195056.0,0.33,0.96,0.32,2,2.04,False,False
1316588634,yes,1541553.0,5195054.0,0.34,0.87,0.29,2,2.01,False,False
1316588635,yes,1541546.0,5194922.0,0.42,1.11,0.47,2,1.88,False,False
1316588636,yes,1541580.0,5194834.0,0.56,1.35,0.76,4,1.86,True,True
1316588637,yes,1541580.0,5194821.0,0.56,1.35,0.76,4,1.86,True,True
1316588638,yes,1541563.0,5194795.0,0.62,1.4,0.87,4,1.83,True,True
1316588639,yes,1541629.0,5194763.0,0.65,1.43,0.93,4,1.84,True,True
1316588640,yes,1541702.0,5194121.0,0.28,0.82,0.23,1,1.92,False,False
1316588641,yes,1541665.0,5194055.0,0.29,0.83,0.24,1,1.92,False,False
1316588642,yes,1541628.0,5193989.0,0.28,0.81,0.23,1,1.93,False,False
1316588643,yes,1541584.0,5193926.0,0.35,0.93,0.33,2,1.92,False,False
1316588644,yes,1541454.0,5193467.0,0.78,1.43,1.12,5,2.0,True,True
1316595286,yes,1542049.0,5196102.0,0.3,0.84,0.26,2,2.2,False,False
1316595287,yes,1542071.0,5196091.0,0.3,0.84,0.25,2,2.22,False,False
1316595337,yes,1542104.0,5196517.0,0.12,0.51,0.06,1,2.37,False,False
1316595338,yes,1542077.0,5196522.0,0.13,0.53,0.07,1,2.36,False,False
1316595339,yes,1541967.0,5196610.0,0.17,0.61,0.11,1,2.25,False,False
1316595340,yes,1541987.0,5196634.0,0.19,0.67,0.13,1,2.25,False,False
1316595341,yes,1541996.0,5196419.0,0.13,0.5,0.07,1,2.28,False,False
1316595342,yes,1541947.0,5196415.0,0.12,0.47,0.05,1,2.32,False,False
1316595343,yes,1541893.0,5196117.0,0.34,0.93,0.32,2,2.17,False,False
1316595344,yes,1541862.0,5196113.0,0.33,0.9,0.3,2,2.17,False,False
1316595345,yes,1541881.0,5196103.0,0.34,0.93,0.32,2,2.17,False,False
1316595346,yes,1541591.0,5196301.0,0.22,0.75,0.17,1,2.11,False,False
1316595347,yes,1541572.0,5196282.0,0.24,0.81,0.2,1,2.08,False,False
1316595348,yes,1541594.0,5196271.0,0.29,0.88,0.27,1,2.1,False,False
1316595349,yes,1541428.0,5196371.0,0.24,0.72,0.18,1,2.08,False,False
1316595350,yes,1541341.0,5196353.0,0.24,0.77,0.18,1,2.0,False,False
1316595351,yes,1541354.0,5196323.0,0.24,0.77,0.18,1,2.0,False,False
1316595352,yes,1541371.0,5196247.0,0.3,0.91,0.28,2,2.0,False,False
1316595353,yes,1541253.0,5196431.0,0.28,0.77,0.22,1,2.0,False,False
1316595354,yes,1541416.0,5196367.0,0.24,0.73,0.18,1,2.06,False,False
1316595355,yes,1541235.0,5196494.0,0.29,0.76,0.22,1,2.0,False,False
1316595356,yes,1541258.0,5196486.0,0.29,0.78,0.22,1,2.0,False,False
1316595357,yes,1541281.0,5196164.0,0.45,1.03,0.47,2,2.0,False,False
1316595358,yes,1541256.0,5196179.0,0.45,1.0,0.45,2,1.96,False,False
1316595359,yes,1541268.0,5196149.0,0.46,1.03,0.47,2,1.96,False,False
1316595360,yes,1541246.0,5196205.0,0.4,0.95,0.38,2,2.0,False,False
