osm_id,building,E,N,max_depth_m,max_speed_ms,max_dv_m2s,hazard_H,arrival_h,at_risk_depth0.5,at_risk_gtH2
1316589882,yes,1537765.0,5197397.0,0.61,1.84,1.46,5,0.83,True,True
1316589883,yes,1537789.0,5197286.0,0.69,1.79,1.44,5,0.83,True,True
1316589884,yes,1537744.0,5197315.0,0.64,1.77,1.33,5,0.83,True,True
1316589885,yes,1537736.0,5197137.0,0.61,1.59,1.04,4,0.92,True,True
1316589886,yes,1537719.0,5197123.0,0.6,1.59,1.03,4,0.92,True,True
1316589887,yes,1537706.0,5197498.0,0.69,1.91,1.84,5,0.83,True,True
1316589888,yes,1537662.0,5197543.0,0.68,1.78,1.5,5,0.83,True,True
1316589889,yes,1537658.0,5197530.0,0.7,1.84,1.67,5,0.83,True,True
1316589890,yes,1537646.0,5197506.0,0.72,1.88,1.81,5,0.83,True,True
1316589891,yes,1538042.0,5197573.0,0.4,1.25,0.57,2,0.93,False,False
1316589892,yes,1538045.0,5197544.0,0.44,1.34,0.71,2,0.92,False,False
1316589893,yes,1537795.0,5197791.0,0.4,1.08,0.45,2,1.01,False,False
1316589894,yes,1537786.0,5197777.0,0.41,1.14,0.5,2,0.98,False,False
1316589895,yes,1537846.0,5197931.0,0.17,0.64,0.12,1,1.41,False,False
1468449533,house,1535420.0,5197264.0,0.62,1.59,1.11,4,0.45,True,True
1468449534,house,1535391.0,5197219.0,0.32,0.72,0.25,2,0.72,False,False
1468449535,yes,1535551.0,5197234.0,0.77,1.56,1.32,5,0.46,True,True
1468449536,yes,1535557.0,5197276.0,0.74,1.69,1.31,5,0.49,True,True
1468449537,yes,1535531.0,5197277.0,0.72,1.69,1.28,5,0.45,True,True
1468449538,house,1535490.0,5197287.0,0.71,1.76,1.36,5,0.42,True,True
1468449539,yes,1535487.0,5197280.0,0.71,1.76,1.36,5,0.42,True,True
1468449540,yes,1535486.0,5197274.0,0.7,1.66,1.27,5,0.42,True,True
1468449541,yes,1535508.0,5197266.0,0.7,1.67,1.25,5,0.42,True,True
1468449542,yes,1535492.0,5197258.0,0.71,1.55,1.22,5,0.42,True,True
1468449543,yes,1535381.0,5197200.0,0.32,0.61,0.24,2,0.78,False,False
1468449548,yes,1536405.0,5196877.0,0.17,0.76,0.14,1,1.1,False,False
1468449549,yes,1536392.0,5196884.0,0.29,0.82,0.25,1,0.93,False,False
1468449550,yes,1536383.0,5196884.0,0.29,0.82,0.25,1,0.93,False,False
1468449551,yes,1536396.0,5196867.0,0.23,0.88,0.21,1,0.96,False,False
1468449552,yes,1536399.0,5196863.0,0.23,0.88,0.21,1,0.96,False,False
1468449553,yes,1536417.0,5196875.0,0.17,0.76,0.14,1,1.1,False,False
1468449554,yes,1536464.0,5196901.0,0.41,1.29,0.64,2,0.72,False,False
1468953840,yes,1537414.0,5196122.0,0.21,0.82,0.19,1,1.29,False,False
1468953841,house,1537440.0,5196136.0,0.22,0.84,0.19,1,1.3,False,False
1316589896,yes,1537214.0,5198044.0,0.24,0.82,0.21,1,1.32,False,False
1316589897,yes,1537129.0,5198060.0,0.23,0.77,0.19,1,1.32,False,False
1316589898,yes,1537105.0,5198045.0,0.23,0.78,0.19,1,1.29,False,False
1316589899,yes,1537111.0,5198019.0,0.23,0.78,0.18,1,1.27,False,False
1316589900,yes,1537108.0,5197996.0,0.22,0.76,0.18,1,1.25,False,False
1316589901,yes,1537079.0,5198034.0,0.24,0.81,0.21,1,1.25,False,False
1316589902,yes,1537073.0,5198076.0,0.25,0.85,0.23,1,1.25,False,False
1316589903,yes,1537064.0,5198005.0,0.24,0.79,0.2,1,1.25,False,False
1316589904,yes,1537054.0,5197986.0,0.24,0.78,0.19,1,1.25,False,False
1316589905,yes,1537004.0,5198056.0,0.26,0.86,0.24,1,1.24,False,False
1316589906,yes,1537052.0,5198128.0,0.3,0.91,0.29,1,1.25,False,False
1316589907,yes,1535598.0,5198037.0,0.26,0.85,0.23,1,1.04,False,False
1316588609,yes,1542094.0,5194719.0,0.32,1.01,0.41,2,2.17,False,False
1316588610,yes,1542074.0,5194728.0,0.33,1.02,0.42,2,2.17,False,False
1316588611,yes,1542089.0,5194697.0,0.3,1.02,0.41,2,2.2,False,False
1316588612,yes,1542067.0,5194704.0,0.31,1.0,0.4,2,2.17,False,False
1316588613,yes,1542042.0,5194709.0,0.31,0.99,0.39,2,2.17,False,False
1316588614,yes,1542017.0,5194711.0,0.31,0.96,0.38,2,2.17,False,False
1316588615,yes,1541993.0,5194688.0,0.32,0.96,0.4,2,2.17,False,False
1316588616,yes,1542055.0,5194653.0,0.3,1.01,0.43,2,2.21,False,False
1316588624,yes,1541800.0,5194916.0,0.32,1.0,0.37,2,2.08,False,False
1316588625,yes,1541863.0,5194946.0,0.24,0.84,0.22,1,2.08,False,False
1316588626,yes,1541852.0,5194955.0,0.26,0.89,0.26,1,2.08,False,False
1316588627,yes,1541844.0,5194954.0,0.26,0.89,0.26,1,2.08,False,False
1316588628,yes,1541694.0,5195048.0,0.31,0.94,0.32,2,2.0,False,False
1316588629,yes,1541654.0,5195015.0,0.29,0.92,0.29,1,2.01,False,False
1316588630,yes,1541693.0,5194983.0,0.31,0.89,0.31,2,2.0,False,False
1316588631,yes,1541691.0,5194966.0,0.3,0.89,0.3,2,2.03,False,False
1316588632,yes,1541615.0,5194947.0,0.25,0.83,0.23,1,2.08,False,False
1316588633,yes,1541659.0,5195056.0,0.29,0.95,0.31,1,2.0,False,False
1316588634,yes,1541553.0,5195054.0,0.28,0.82,0.25,1,2.0,False,False
1316588635,yes,1541546.0,5194922.0,0.22,0.79,0.2,1,2.08,False,False
