offset_m,i,E,N,depth_100yr_m,depth_200yr_m,depth_500yr_m
40,0,1534343.5,5197691.7,0.0,0.0,0.0
40,1,1534381.9,5197680.3,0.0,0.0,0.0
40,2,1534420.2,5197669.0,0.0,0.0,0.0
40,3,1534458.6,5197657.6,0.0,0.0,0.0
40,4,1534497.0,5197646.3,0.0,0.0,0.0
40,5,1534535.3,5197634.9,0.0,0.0,0.0
40,6,1534573.7,5197623.6,0.122,0.122,0.122
40,7,1534612.0,5197612.3,0.0,0.0,0.0
40,8,1534650.4,5197600.9,0.0,0.0,0.0
40,9,1534688.7,5197589.6,0.0,0.0,0.0
40,10,1534727.1,5197578.2,0.0,0.0,0.0
40,11,1534765.5,5197566.9,0.0,0.0,0.0
40,12,1534803.8,5197555.5,0.0,0.0,0.0
40,13,1534842.2,5197544.2,0.0,0.0,0.0
40,14,1534880.5,5197532.8,0.122,0.122,0.122
40,15,1534918.9,5197521.5,0.127,0.128,0.127
40,16,1534957.2,5197510.1,0.0,0.0,0.0
40,17,1534995.6,5197498.8,0.128,0.128,0.128
40,18,1535033.9,5197487.4,0.179,0.179,0.179
40,19,1535072.3,5197476.1,0.182,0.185,0.189
40,20,1535110.7,5197464.7,0.061,0.061,0.061
40,21,1535149.0,5197453.4,0.249,0.249,0.249
40,22,1535187.4,5197442.0,0.147,0.147,0.147
40,23,1535225.7,5197430.7,0.0,0.0,0.0
40,24,1535264.1,5197419.4,0.0,0.0,0.0
40,25,1535302.4,5197408.0,0.0,0.0,0.0
40,26,1535340.8,5197396.7,0.108,0.108,0.108
150,0,1534374.7,5197797.2,0.077,0.106,0.162
150,1,1534413.1,5197785.8,0.0,0.0,0.063
150,2,1534451.4,5197774.5,0.0,0.0,0.115
150,3,1534489.8,5197763.1,0.0,0.0,0.0
150,4,1534528.2,5197751.8,0.165,0.179,0.219
150,5,1534566.5,5197740.4,0.088,0.088,0.088
150,6,1534604.9,5197729.1,0.08,0.08,0.08
150,7,1534643.2,5197717.7,0.0,0.0,0.0
150,8,1534681.6,5197706.4,0.101,0.102,0.129
150,9,1534719.9,5197695.0,0.0,0.0,0.106
150,10,1534758.3,5197683.7,0.0,0.054,0.165
150,11,1534796.7,5197672.3,0.118,0.196,0.318
150,12,1534835.0,5197661.0,0.141,0.208,0.301
150,13,1534873.4,5197649.7,0.065,0.135,0.266
150,14,1534911.7,5197638.3,0.052,0.052,0.171
150,15,1534950.1,5197627.0,0.0,0.0,0.0
150,16,1534988.4,5197615.6,0.0,0.0,0.0
150,17,1535026.8,5197604.3,0.0,0.0,0.0
150,18,1535065.2,5197592.9,0.103,0.103,0.103
150,19,1535103.5,5197581.6,0.255,0.255,0.255
150,20,1535141.9,5197570.2,0.0,0.0,0.0
150,21,1535180.2,5197558.9,0.154,0.154,0.154
150,22,1535218.6,5197547.5,0.0,0.0,0.0
150,23,1535256.9,5197536.2,0.0,0.0,0.0
150,24,1535295.3,5197524.8,0.0,0.0,0.0
150,25,1535333.6,5197513.5,0.0,0.0,0.0
150,26,1535372.0,5197502.1,0.0,0.0,0.0
