chainage_m,E,N,thalweg_mRL,crest_left_mRL,crest_right_mRL,bankfull_mRL,limiting_bank,bankfull_depth_m,top_width_m,area_m2,capacity_m3s,slope,right_crest_E,right_crest_N,level_100_mRL,over_right_100_m,over_left_100_m,level_150_mRL,over_right_150_m,over_left_150_m,level_300_mRL,over_right_300_m,over_left_300_m,level_500_mRL,over_right_500_m,over_left_500_m,level_800_mRL,over_right_800_m,over_left_800_m,level_1200_mRL,over_right_1200_m,over_left_1200_m,path_min_dist_to_north_embankment_m,path_length_km,path_end_E,path_end_N,right_bank_in_d8_catchment,right_bank_in_anypath_area,mfd_share_at_north_embankment,chainage_rel_site_km
6086.596,1521260.011,5206240.07,347.976,410.093,357.612,357.612,right,9.636,728.0,2705.656,19467.704,0.011,1520783.798,5205827.612,350.526,-7.086,-59.568,350.726,-6.886,-59.368,351.176,-6.436,-58.918,351.576,-6.036,-58.518,351.876,-5.736,-58.218,352.276,-5.336,-57.818,5819.565,46.16,1562490.0,5191190.0,False,True,0.0,-18.875
6336.596,1521442.189,5206189.703,346.761,403.975,350.025,350.025,right,3.264,284.0,585.376,2659.377,0.01,1521547.285,5205947.524,347.161,-2.864,-56.814,347.361,-2.664,-56.614,347.611,-2.414,-56.364,347.861,-2.164,-56.114,348.111,-1.914,-55.864,348.411,-1.614,-55.564,5819.565,45.38,1562490.0,5191190.0,False,False,0.0,-18.625
6586.596,1521629.26,5206100.792,344.066,358.563,350.65,350.65,right,6.584,432.0,901.002,4218.928,0.01,1521415.879,5205704.599,346.016,-4.634,-12.547,346.166,-4.484,-12.397,346.516,-4.134,-12.047,346.966,-3.684,-11.597,347.566,-3.084,-10.997,347.966,-2.684,-10.597,5819.565,45.5,1562490.0,5191190.0,False,True,0.0,-18.375
6836.596,1521840.347,5205994.195,340.253,376.756,349.688,349.688,right,9.435,590.0,2969.528,23839.852,0.009,1521565.914,5205689.586,342.453,-7.235,-34.303,342.603,-7.085,-34.153,342.853,-6.835,-33.903,343.103,-6.585,-33.653,343.403,-6.285,-33.353,343.653,-6.035,-33.103,5813.87,45.28,1562490.0,5191190.0,False,True,0.0,-18.125
7086.596,1521906.422,5205783.133,339.066,375.586,349.621,349.621,right,10.555,966.0,4370.299,31201.72,0.008,1521339.489,5205527.26,339.166,-10.455,-36.419,339.316,-10.305,-36.269,339.716,-9.905,-35.869,340.116,-9.505,-35.469,340.566,-9.055,-35.019,340.966,-8.655,-34.619,5819.565,45.44,1562490.0,5191190.0,False,True,0.0,-17.875
7336.596,1522079.383,5205914.804,337.277,351.267,345.303,345.303,right,8.026,332.0,1513.498,10264.497,0.008,1522121.651,5205821.974,339.577,-5.726,-11.69,339.777,-5.526,-11.49,340.077,-5.226,-11.19,340.327,-4.976,-10.94,340.627,-4.676,-10.64,340.927,-4.376,-10.34,5825.322,44.7,1562490.0,5191190.0,False,True,0.0,-17.625
7586.596,1522235.927,5205742.025,333.363,366.194,344.285,344.285,right,10.922,856.0,3181.214,17879.307,0.007,1521775.489,5205409.428,334.763,-9.522,-31.431,334.963,-9.322,-31.231,335.613,-8.672,-30.581,336.013,-8.272,-30.181,336.463,-7.822,-29.731,336.913,-7.372,-29.281,5825.322,45.12,1562490.0,5191190.0,False,True,0.0,-17.375
7836.596,1522370.146,5205697.89,334.302,345.14,341.454,341.454,right,7.152,192.0,771.687,4257.707,0.006,1522427.203,5205673.631,334.602,-6.852,-10.538,334.852,-6.602,-10.288,335.502,-5.952,-9.638,336.052,-5.402,-9.088,336.652,-4.802,-8.488,337.102,-4.352,-8.038,5825.322,44.34,1562490.0,5191190.0,False,True,0.0,-17.125
8086.596,1522441.288,5205900.506,332.46,409.612,341.736,341.736,right,9.276,160.0,934.107,6543.408,0.006,1522444.448,5205748.539,335.41,-6.326,-74.202,335.61,-6.126,-74.002,336.06,-5.676,-73.552,336.51,-5.226,-73.102,337.01,-4.726,-72.602,337.56,-4.176,-72.052,5825.322,44.34,1562490.0,5191190.0,False,True,0.0,-16.875
8336.596,1522653.843,5205785.843,330.782,349.76,339.676,339.676,right,8.894,302.0,1534.616,10229.677,0.006,1522556.17,5205641.843,333.032,-6.644,-16.728,333.432,-6.244,-16.328,334.532,-5.144,-15.228,334.882,-4.794,-14.878,335.282,-4.394,-14.478,335.732,-3.944,-14.028,5825.322,44.22,1562490.0,5191190.0,False,True,0.0,-16.625
8586.596,1522837.924,5205630.589,328.916,338.247,337.005,337.005,right,8.089,332.0,1700.48,11319.431,0.006,1522771.434,5205480.672,331.616,-5.389,-6.631,331.766,-5.239,-6.481,332.016,-4.989,-6.231,332.316,-4.689,-5.931,332.566,-4.439,-5.681,332.916,-4.089,-5.331,5825.322,43.98,1562490.0,5191190.0,False,True,0.0,-16.375
8836.596,1523078.07,5205561.091,327.11,335.67,335.8,335.67,left,8.56,244.0,1312.189,9683.728,0.007,1523045.823,5205449.664,330.01,-5.79,-5.66,330.21,-5.59,-5.46,330.51,-5.29,-5.16,330.81,-4.99,-4.86,331.11,-4.69,-4.56,331.51,-4.29,-4.16,5813.87,43.54,1562490.0,5191190.0,False,False,0.0,-16.125
9086.596,1523320.839,5205543.53,324.933,333.267,333.762,333.267,left,8.334,274.0,1414.059,10639.653,0.008,1523332.585,5205472.495,327.583,-6.178,-5.684,327.833,-5.928,-5.434,328.133,-5.628,-5.134,328.383,-5.378,-4.884,328.683,-5.078,-4.584,328.983,-4.778,-4.284,5819.565,43.34,1562490.0,5191190.0,False,False,0.0,-15.875
9336.596,1523566.766,5205588.474,323.269,331.208,328.918,328.918,right,5.649,346.0,1315.754,8014.795,0.008,1523605.919,5205351.69,324.919,-3.999,-6.289,325.069,-3.849,-6.139,325.369,-3.549,-5.839,325.619,-3.299,-5.589,325.869,-3.049,-5.339,326.169,-2.749,-5.039,5819.565,42.86,1562490.0,5191190.0,False,False,0.0,-15.625
9586.596,1523809.82,5205572.935,321.313,328.342,327.291,327.291,right,5.978,206.0,776.092,4594.222,0.008,1523788.117,5205396.264,323.163,-4.128,-5.18,323.363,-3.928,-4.98,323.763,-3.528,-4.58,323.963,-3.328,-4.38,324.263,-3.028,-4.08,324.613,-2.678,-3.73,5825.322,42.84,1562490.0,5191190.0,False,False,0.0,-15.375
9836.596,1524045.503,5205533.523,319.317,327.057,325.874,325.874,right,6.558,616.0,1868.181,9484.516,0.007,1523969.176,5204912.194,320.967,-4.908,-6.09,321.117,-4.758,-5.94,321.367,-4.508,-5.69,321.617,-4.258,-5.44,321.817,-4.058,-5.24,322.067,-3.808,-4.99,5819.565,42.68,1562490.0,5191190.0,False,True,0.0,-15.125
10086.596,1524264.551,5205477.265,316.945,320.299,328.202,320.299,left,3.354,416.0,816.015,3090.23,0.007,1523667.619,5205372.824,317.095,-11.107,-3.204,317.245,-10.957,-3.054,317.595,-10.607,-2.704,317.895,-10.307,-2.404,318.195,-10.007,-2.104,318.495,-9.707,-1.804,5819.565,43.04,1562490.0,5191190.0,False,False,0.0,-14.875
10336.596,1524340.773,5205271.646,316.152,322.149,324.973,322.149,left,5.997,492.0,1457.223,7168.305,0.007,1524257.822,5204933.677,318.102,-6.871,-4.047,318.252,-6.721,-3.897,318.552,-6.421,-3.597,318.752,-6.221,-3.397,319.052,-5.921,-3.097,319.352,-5.621,-2.797,5825.322,42.48,1562490.0,5191190.0,False,True,0.0,-14.625
10586.596,1524530.798,5205409.394,314.405,323.001,319.992,319.992,right,5.587,354.0,1267.504,7031.9,0.007,1524649.154,5205216.864,316.155,-3.837,-6.846,316.305,-3.687,-6.696,316.605,-3.387,-6.396,316.955,-3.037,-6.046,317.355,-2.637,-5.646,317.655,-2.337,-5.346,5813.87,41.86,1562490.0,5191190.0,False,True,0.0,-14.375
10836.596,1524764.355,5205389.128,312.72,317.985,319.379,317.985,left,5.265,252.0,876.235,4747.147,0.007,1524672.736,5204792.117,314.27,-5.109,-3.715,314.47,-4.909,-3.515,314.92,-4.459,-3.065,315.27,-4.109,-2.715,315.57,-3.809,-2.415,315.87,-3.509,-2.115,5819.565,42.02,1562490.0,5191190.0,False,True,0.0,-14.125
