road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note
Carleton Road,1001.0,86.0,0.79,1.02,1537378.14,5196195.3,
Wolffs Road,416.0,98.0,1.33,0.97,1539434.04,5194908.57,
Poyntzs Road,711.0,147.0,1.92,0.84,1541573.02,5193769.01,
Pesters Road,291.0,71.0,2.33,0.56,1543534.02,5194511.78,
Downs Road,446.0,106.0,3.36,1.14,1547808.57,5193480.71,
Browns Road,552.0,109.0,4.41,0.68,1551832.49,5192091.63,
Two Chain Road,548.0,102.0,5.43,0.63,1555270.33,5191587.72,
Diversion Road,98.0,47.0,7.5,0.37,1561312.56,5190999.33,
Wrights Road,759.0,18.0,0.29,1.95,1535221.06,5196847.76,
Dixon Road,285.0,116.0,0.93,0.73,1536015.44,5197176.12,
South Eyre Road,1465.0,32.0,7.92,0.17,1559997.12,5193375.47,
Thongcaster Road,674.0,0.0,,0.09,,,
Domain Road,280.0,0.0,,0.0,,,
Barrett Road,348.0,0.0,,0.0,,,
Kennedy Road,,,,,,,not in roads layer
North Eyre Road,866.0,0.0,,0.0,,,
Dixons Road,,,,,,,not in roads layer
Harmans Gorge Road,254.0,0.0,,0.0,,,
Depot Road,481.0,0.0,,0.0,,,
Warren Road,149.0,0.0,,0.0,,,
Steffens Road,420.0,0.0,,0.0,,,
Tram Road,887.0,0.0,,0.0,,,
