road,points_inundated_gt_0.1m,max_depth_m
Carleton Road,11.0,0.92
Wolffs Road,28.0,0.51
Poyntzs Road,7.0,0.83
Pesters Road,10.0,0.78
Downs Road,13.0,0.72
Browns Road,33.0,0.88
Two Chain Road,8.0,0.79
Diversion Road,11.0,0.16
Wrights Road,0.0,0.05
Dixon Road,0.0,0.0
South Eyre Road,15.0,0.9
Thongcaster Road,0.0,0.0
Domain Road,0.0,0.06
Barrett Road,0.0,0.0
Kennedy Road,,
North Eyre Road,0.0,0.08
Dixons Road,,
Harmans Gorge Road,12.0,0.76
Depot Road,14.0,0.92
Warren Road,11.0,0.86
Steffens Road,9.0,0.86
Tram Road,0.0,0.0
