road,points_inundated_gt_0.1m,max_depth_m
Carleton Road,143.0,1.53
Wolffs Road,159.0,0.65
Poyntzs Road,176.0,1.34
Pesters Road,104.0,1.47
Downs Road,167.0,1.21
Browns Road,300.0,1.28
Two Chain Road,295.0,1.1
Diversion Road,79.0,0.57
Wrights Road,173.0,0.48
Dixon Road,57.0,0.32
South Eyre Road,841.0,1.37
Thongcaster Road,25.0,0.28
Domain Road,47.0,0.37
Barrett Road,0.0,0.07
Kennedy Road,,
North Eyre Road,277.0,0.5
Dixons Road,,
Harmans Gorge Road,22.0,1.16
Depot Road,65.0,1.4
Warren Road,41.0,1.36
Steffens Road,73.0,1.39
Tram Road,74.0,0.29
