t_s,Q_out_m3s,Q_in_m3s,level_mRL,breach_bottom_mRL,breach_bottom_width_m,breach_top_width_m
0,0.000,0.000,226.500,226.500,0.00,0.00
30,0.005,0.000,226.500,226.444,0.19,0.27
60,0.028,0.000,226.500,226.388,0.38,0.54
90,0.078,0.000,226.500,226.333,0.57,0.81
120,0.160,0.000,226.500,226.277,0.77,1.08
150,0.280,0.000,226.500,226.221,0.96,1.35
180,0.442,0.000,226.500,226.165,1.15,1.62
210,0.649,0.000,226.500,226.110,1.34,1.89
240,0.907,0.000,226.500,226.054,1.53,2.16
270,1.217,0.000,226.500,225.998,1.72,2.43
300,1.583,0.000,226.500,225.942,1.92,2.70
330,2.008,0.000,226.499,225.886,2.11,2.97
360,2.495,0.000,226.499,225.831,2.30,3.24
390,3.046,0.000,226.499,225.775,2.49,3.51
420,3.665,0.000,226.499,225.719,2.68,3.78
450,4.352,0.000,226.498,225.663,2.87,4.05
480,5.111,0.000,226.498,225.607,3.07,4.32
510,5.943,0.000,226.497,225.552,3.26,4.59
540,6.850,0.000,226.496,225.496,3.45,4.85
570,7.835,0.000,226.496,225.440,3.64,5.12
600,8.899,0.000,226.495,225.384,3.83,5.39
630,10.044,0.000,226.494,225.329,4.02,5.66
660,11.271,0.000,226.493,225.273,4.22,5.93
690,12.581,0.000,226.492,225.217,4.41,6.20
720,13.977,0.000,226.490,225.161,4.60,6.47
750,15.459,0.000,226.489,225.105,4.79,6.74
780,17.029,0.000,226.487,225.050,4.98,7.01
810,18.687,0.000,226.486,224.994,5.17,7.28
840,20.435,0.000,226.484,224.938,5.37,7.55
870,22.274,0.000,226.481,224.882,5.56,7.82
900,24.203,0.000,226.479,224.826,5.75,8.09
930,26.225,0.000,226.477,224.771,5.94,8.36
960,28.339,0.000,226.474,224.715,6.13,8.63
990,30.546,0.000,226.471,224.659,6.32,8.90
1020,32.847,0.000,226.468,224.603,6.51,9.17
1050,35.242,0.000,226.464,224.548,6.71,9.44
1080,37.730,0.000,226.461,224.492,6.90,9.71
1110,40.313,0.000,226.457,224.436,7.09,9.98
1140,42.990,0.000,226.453,224.380,7.28,10.25
1170,45.762,0.000,226.448,224.324,7.47,10.52
1200,48.627,0.000,226.443,224.269,7.66,10.79
1230,51.586,0.000,226.438,224.213,7.86,11.06
1260,54.639,0.000,226.433,224.157,8.05,11.33
1290,57.785,0.000,226.427,224.101,8.24,11.60
1320,61.024,0.000,226.422,224.045,8.43,11.87
1350,64.355,0.000,226.415,223.990,8.62,12.14
1380,67.777,0.000,226.409,223.934,8.81,12.41
1410,71.289,0.000,226.402,223.878,9.01,12.68
1440,74.892,0.000,226.394,223.822,9.20,12.95
1470,78.583,0.000,226.387,223.767,9.39,13.22
1500,82.362,0.000,226.379,223.711,9.58,13.49
