road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,112.0,0.65,1.0559868812561035,1537343.845188636,5196075.0964812245,,0.65
Wolffs Road,415.0,89.0,1.08,0.9635810852050781,1539424.120859719,5194885.621080981,,1.08
Poyntzs Road,711.0,144.0,1.58,0.7583772540092468,1541892.962217253,5194305.913966384,,1.58
Pesters Road,291.0,67.0,2.08,0.5073641538619995,1543534.0241761813,5194511.775579985,,2.08
Downs Road,446.0,104.0,3.17,1.337203860282898,1547931.0897267729,5192893.4083041195,,3.17
Browns Road,470.0,88.0,4.43,0.5827961564064026,1551848.7276586564,5192110.636221033,,4.43
Two Chain Road,548.0,88.0,5.58,0.6223791241645813,1555158.953396126,5191365.400921876,,5.58
Diversion Road,98.0,35.0,7.81,0.32474273443222046,1561310.311093997,5190974.430343832,,7.81
Wrights Road,447.0,62.0,0.17,2.0551178455352783,1535228.1049340167,5196871.75226356,,0.17
Dixon Road,285.0,152.0,0.41,0.8282122015953064,1535033.9865374814,5197471.678693016,,0.41
South Eyre Road,1465.0,25.0,8.39,0.6071865558624268,1560021.3383581708,5193369.267425894,,8.39
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,16.0,0.55,0.5087441802024841,1535346.8918373112,5197609.710656399,,0.55
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
