road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,109.0,0.65,1.0559868812561035,1537343.845188636,5196075.0964812245,,0.65
Wolffs Road,415.0,88.0,1.08,0.9643504619598389,1539424.120859719,5194885.621080981,,1.08
Poyntzs Road,711.0,139.0,1.58,0.7576923370361328,1541892.962217253,5194305.913966384,,1.58
Pesters Road,291.0,65.0,2.0,0.4690183699131012,1543534.0241761813,5194511.775579985,,2.0
Downs Road,446.0,95.0,3.08,1.0383422374725342,1547819.296767262,5193431.875784074,,3.08
Browns Road,470.0,99.0,4.17,0.5755603909492493,1552052.2498399767,5192452.427748746,,4.17
Two Chain Road,548.0,88.0,5.25,0.6045624017715454,1555337.8146257182,5191721.685708716,,5.25
Diversion Road,98.0,34.0,7.33,0.38578739762306213,1561307.3629998511,5191048.920883765,,7.33
Wrights Road,447.0,62.0,0.17,2.0551178455352783,1535228.1049340167,5196871.75226356,,0.17
Dixon Road,285.0,148.0,0.41,0.7546703219413757,1535033.9865374814,5197471.678693016,,0.41
South Eyre Road,1465.0,29.0,7.8,0.6251007914543152,1559972.904124156,5193381.682133921,,7.8
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,16.0,0.55,0.5165524482727051,1535346.8918373112,5197609.710656399,,0.55
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
