road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,150.0,0.65,1.0582975149154663,1537343.845188636,5196075.0964812245,,0.65
Wolffs Road,415.0,150.0,1.08,1.0128482580184937,1539424.120859719,5194885.621080981,,1.08
Poyntzs Road,711.0,206.0,1.58,0.9522632360458374,1541355.7058369173,5193403.775096578,,1.58
Pesters Road,291.0,90.0,2.0,1.1560633182525635,1543534.0241761813,5194511.775579985,,2.0
Downs Road,446.0,196.0,2.92,1.5499460697174072,1547931.0897267729,5192893.4083041195,,2.92
Browns Road,470.0,234.0,3.95,0.8951224088668823,1551832.4851524336,5192091.631458692,,3.95
Two Chain Road,548.0,242.0,4.83,0.8772095441818237,1555371.5576507498,5191788.6663645925,,4.83
Diversion Road,98.0,92.0,6.48,0.4767708480358124,1561310.311093997,5190974.430343832,,6.48
Wrights Road,447.0,81.0,0.17,2.0568079948425293,1535228.1049340167,5196871.75226356,,0.17
Dixon Road,285.0,160.0,0.47,0.838310182094574,1534266.8503174644,5197698.619257786,,0.47
South Eyre Road,1465.0,529.0,8.11,1.1798611879348755,1562489.2144522136,5193052.0532720955,,8.11
Thongcaster Road,382.0,29.0,,0.22463081777095795,,,,
Domain Road,280.0,16.0,0.5,0.537133514881134,1535346.8918373112,5197609.710656399,,0.5
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
