road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,148.0,0.65,1.0582975149154663,1537343.845188636,5196075.0964812245,,0.65
Wolffs Road,415.0,158.0,1.08,1.0136252641677856,1539424.120859719,5194885.621080981,,1.08
Poyntzs Road,711.0,205.0,1.58,0.9878538846969604,1541355.7058369173,5193403.775096578,,1.58
Pesters Road,291.0,86.0,1.92,1.1885735988616943,1543534.0241761813,5194511.775579985,,1.92
Downs Road,446.0,193.0,2.83,1.2010341882705688,1547819.296767262,5193431.875784074,,2.83
Browns Road,470.0,242.0,3.67,0.9003822803497314,1552019.0909720098,5192385.15599037,,3.67
Two Chain Road,548.0,244.0,4.58,0.8840481042861938,1555371.5576507498,5191788.6663645925,,4.58
Diversion Road,98.0,89.0,6.08,0.5303743481636047,1561307.3629998511,5191048.920883765,,6.08
Wrights Road,447.0,75.0,0.17,2.0568199157714844,1535228.1049340167,5196871.75226356,,0.17
Dixon Road,285.0,160.0,0.47,0.7638247609138489,1534266.8503174644,5197698.619257786,,0.47
South Eyre Road,1465.0,527.0,,1.196895956993103,,,,
Thongcaster Road,382.0,29.0,,0.22397394478321075,,,,
Domain Road,280.0,16.0,0.5,0.5440366864204407,1535346.8918373112,5197609.710656399,,0.5
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
