road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,114.0,0.6,1.041754961013794,1537357.562706779,5196123.1779713845,,0.6
Wolffs Road,415.0,87.0,1.07,0.9049209952354431,1539424.120859719,5194885.621080981,,1.07
Poyntzs Road,711.0,140.0,1.6,0.7150012254714966,1541854.4343774205,5194241.566429074,,1.6
Pesters Road,291.0,63.0,1.98,0.48022395372390747,1543534.0241761813,5194511.775579985,,1.98
Downs Road,446.0,76.0,3.1,1.1145001649856567,1547813.932296231,5193456.293450845,,3.1
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,330.0,0.0,,0.0,,,,
Diversion Road,,,,,,,not in roads layer,
Wrights Road,447.0,62.0,0.19,2.0053865909576416,1535221.0648295563,5196847.7639970705,,0.19
Dixon Road,285.0,156.0,0.29,0.759052574634552,1534890.1484962283,5197514.230048911,,0.29
South Eyre Road,1290.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,17.0,0.49,0.5063510537147522,1535396.478996197,5197495.97810847,,0.49
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
