run,road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N
full,Carleton Road,543,83,0.8333333134651184,2.3849387168884277,1537398.715261208,5196267.422441864
full,Wolffs Road,415,103,1.3333333730697632,2.1526167392730713,1539424.120859719,5194885.621080981
full,Poyntzs Road,544,131,1.9166666269302368,0.7912791967391968,1541803.1195596235,5194155.73650565
full,Pesters Road,291,61,2.3333332538604736,0.544856607913971,1543534.0241761813,5194511.775579985
full,Wrights Road,427,20,0.2957356870174408,1.9043633937835693,1535221.0648295563,5196847.7639970705
full,Dixon Road,181,118,1.0313069820404053,1.8118618726730347,1535895.8451751443,5197212.470514803
full,South Eyre Road,1290,0,,0.07473473995923996,,
full,Domain Road,280,1,,0.17464645206928253,,
dry,Carleton Road,543,83,0.8333333134651184,2.3848235607147217,1537398.715261208,5196267.422441864
dry,Wolffs Road,415,101,1.3333333730697632,2.1522202491760254,1539424.120859719,5194885.621080981
dry,Poyntzs Road,544,129,1.9166666269302368,0.786405086517334,1541828.7491508655,5194198.668070868
dry,Pesters Road,291,60,2.3367390632629395,0.5415729284286499,1543534.0241761813,5194511.775579985
dry,Wrights Road,427,20,0.1799883395433426,1.9043633937835693,1535214.024725096,5196823.77573058
dry,Dixon Road,181,110,1.0,1.8111428022384644,1536015.4418493537,5197176.1162094455
dry,South Eyre Road,1290,0,,0.0,,
dry,Domain Road,280,0,,0.0,,
