road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,94.0,0.77,0.9929915070533752,1537309.5513932786,5195954.892755825,,2.94
Wolffs Road,415.0,105.0,1.32,1.006654977798462,1539463.7936623686,5194977.41470122,,3.49
Poyntzs Road,711.0,217.0,1.83,1.0751668214797974,1541573.0210736603,5193769.013495269,,4.01
Pesters Road,291.0,104.0,2.2,0.6969960331916809,1543534.0241761813,5194511.775579985,,4.37
Downs Road,446.0,163.0,3.13,1.218872308731079,1547819.296767262,5193431.875784074,,5.31
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,330.0,0.0,,0.0,,,,
Diversion Road,,,,,,,not in roads layer,
Wrights Road,447.0,22.0,0.2,1.8334875106811523,1535228.1049340167,5196871.75226356,,2.37
Dixon Road,285.0,126.0,1.03,0.7276152968406677,1536518.6372346198,5197026.391451945,,3.2
South Eyre Road,1290.0,28.0,,0.1457594335079193,,,,
Thongcaster Road,382.0,3.0,,0.11506745219230652,,,,
Domain Road,280.0,3.0,,0.11576765030622482,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
