t_s,Q_out_m3s,Q_in_m3s,level_mRL,breach_bottom_mRL,breach_bottom_width_m,breach_top_width_m
0,0.000,0.000,226.500,226.500,0.00,0.00
30,0.001,0.000,226.500,226.472,0.14,0.18
60,0.007,0.000,226.500,226.443,0.28,0.36
90,0.020,0.000,226.500,226.415,0.41,0.53
120,0.040,0.000,226.500,226.386,0.55,0.71
150,0.070,0.000,226.500,226.358,0.69,0.89
180,0.111,0.000,226.500,226.329,0.83,1.07
210,0.163,0.000,226.500,226.301,0.97,1.24
240,0.228,0.000,226.500,226.272,1.10,1.42
270,0.306,0.000,226.500,226.244,1.24,1.60
300,0.398,0.000,226.500,226.215,1.38,1.78
330,0.505,0.000,226.500,226.187,1.52,1.96
360,0.628,0.000,226.500,226.158,1.65,2.13
390,0.766,0.000,226.500,226.130,1.79,2.31
420,0.922,0.000,226.500,226.102,1.93,2.49
450,1.095,0.000,226.500,226.073,2.07,2.67
480,1.287,0.000,226.499,226.045,2.21,2.84
510,1.497,0.000,226.499,226.016,2.34,3.02
540,1.726,0.000,226.499,225.988,2.48,3.20
570,1.975,0.000,226.499,225.959,2.62,3.38
600,2.244,0.000,226.499,225.931,2.76,3.55
630,2.534,0.000,226.498,225.902,2.90,3.73
660,2.846,0.000,226.498,225.874,3.03,3.91
690,3.178,0.000,226.498,225.845,3.17,4.09
720,3.533,0.000,226.498,225.817,3.31,4.27
750,3.910,0.000,226.497,225.789,3.45,4.44
780,4.310,0.000,226.497,225.760,3.59,4.62
810,4.734,0.000,226.496,225.732,3.72,4.80
840,5.180,0.000,226.496,225.703,3.86,4.98
870,5.651,0.000,226.495,225.675,4.00,5.15
900,6.146,0.000,226.495,225.646,4.14,5.33
930,6.665,0.000,226.494,225.618,4.27,5.51
960,7.209,0.000,226.493,225.589,4.41,5.69
990,7.779,0.000,226.493,225.561,4.55,5.87
1020,8.373,0.000,226.492,225.532,4.69,6.04
1050,8.993,0.000,226.491,225.504,4.83,6.22
1080,9.639,0.000,226.490,225.475,4.96,6.40
1110,10.311,0.000,226.489,225.447,5.10,6.58
1140,11.009,0.000,226.488,225.419,5.24,6.75
1170,11.734,0.000,226.487,225.390,5.38,6.93
1200,12.485,0.000,226.486,225.362,5.52,7.11
1230,13.263,0.000,226.484,225.333,5.65,7.29
1260,14.068,0.000,226.483,225.305,5.79,7.46
1290,14.899,0.000,226.482,225.276,5.93,7.64
1320,15.758,0.000,226.480,225.248,6.07,7.82
1350,16.644,0.000,226.478,225.219,6.20,8.00
1380,17.557,0.000,226.477,225.191,6.34,8.18
1410,18.498,0.000,226.475,225.162,6.48,8.35
1440,19.466,0.000,226.473,225.134,6.62,8.53
1470,20.461,0.000,226.471,225.106,6.76,8.71
1500,21.484,0.000,226.469,225.077,6.89,8.89
