chainage_m,E,N,thalweg_mRL,crest_left_mRL,crest_right_mRL,bankfull_mRL,limiting_bank,bankfull_depth_m,top_width_m,area_m2,capacity_m3s,slope,stage_150_m,freeboard_150_m,stage_300_m,freeboard_300_m
125.0,1539513.66,5202509.165,189.931,192.646,193.966,192.646,left,2.716,342.0,486.797,1517.244,0.007,1.5,1.216,1.75,0.966
375.0,1539756.629,5202456.009,188.141,191.132,192.412,191.132,left,2.99,340.0,486.173,1480.666,0.007,1.65,1.34,1.95,1.04
625.0,1540005.711,5202434.603,186.351,189.188,190.175,189.188,left,2.837,472.0,615.431,1750.872,0.007,1.45,1.387,1.7,1.137
875.0,1540246.261,5202377.122,184.345,187.795,188.58,187.795,left,3.45,242.0,572.502,2469.756,0.007,1.35,2.1,1.65,1.8
1125.0,1540476.587,5202280.269,182.506,185.59,186.598,185.59,left,3.084,436.0,686.177,2287.691,0.007,1.65,1.434,1.9,1.184
1375.0,1540701.09,5202170.276,181.305,184.216,184.416,184.216,left,2.911,398.0,613.824,2008.96,0.007,1.1,1.811,1.5,1.411
1625.0,1540903.183,5202026.264,179.468,182.178,182.582,182.178,left,2.711,232.0,301.07,863.943,0.007,1.55,1.161,1.8,0.911
1875.0,1541136.936,5201955.633,177.037,181.008,180.719,180.719,right,3.682,350.0,613.417,2084.91,0.007,0.65,3.032,0.95,2.732
2125.0,1541385.866,5201974.91,176.568,180.468,176.568,176.568,right,0.0,200.0,213.369,510.286,0.006,0.05,-0.05,0.05,-0.05
2375.0,1541605.98,5202080.753,175.045,178.673,178.168,178.168,right,3.123,180.0,365.684,1301.52,0.006,0.05,3.073,0.2,2.923
2625.0,1541842.51,5202158.943,173.507,177.873,176.399,176.399,right,2.892,276.0,344.537,851.317,0.006,0.25,2.642,0.6,2.292
2875.0,1542078.203,5202095.373,171.599,175.061,175.553,175.061,left,3.462,198.0,303.626,836.581,0.005,1.4,2.062,1.65,1.812
3125.0,1542281.713,5201959.546,169.903,172.805,173.934,172.805,left,2.901,92.0,141.797,392.617,0.005,1.8,1.101,1.95,0.951
3375.0,1542431.161,5201759.968,168.734,171.325,171.328,171.325,left,2.591,148.0,229.413,669.256,0.006,1.3,1.291,1.5,1.091
3625.0,1542568.046,5201555.107,167.398,169.187,169.993,169.187,left,1.789,88.0,97.7,233.876,0.006,1.05,0.739,1.2,0.589
3875.0,1542737.474,5201371.654,165.626,167.792,168.318,167.792,left,2.166,44.0,61.73,174.393,0.006,1.1,1.066,1.25,0.916
4125.0,1542908.176,5201204.27,164.484,165.23,167.201,165.23,left,0.746,274.0,111.956,140.026,0.006,0.75,-0.004,0.95,-0.204
4375.0,1543070.122,5201027.064,162.86,165.591,163.448,163.448,right,0.588,82.0,30.327,35.397,0.006,0.6,-0.012,0.85,-0.262
4625.0,1543283.731,5200897.176,161.467,163.708,161.914,161.914,right,0.447,130.0,61.128,81.458,0.006,0.55,-0.103,0.8,-0.353
4875.0,1543481.293,5200751.392,160.153,162.157,162.318,162.157,left,2.004,160.0,169.458,377.504,0.006,0.9,1.104,1.1,0.904
5125.0,1543537.646,5200514.3,158.735,159.238,161.565,159.238,left,0.504,82.0,25.194,24.287,0.005,0.5,0.004,0.75,-0.246
5375.0,1543521.149,5200265.162,157.009,157.071,160.311,157.071,left,0.062,44.0,3.392,1.28,0.005,0.35,-0.288,0.6,-0.538
5625.0,1543513.519,5200017.92,155.786,157.657,159.25,157.657,left,1.872,156.0,152.079,317.827,0.006,0.85,1.022,1.15,0.722
5875.0,1543589.506,5199785.243,153.933,156.886,157.171,156.886,left,2.952,410.0,669.675,2013.758,0.006,1.55,1.402,1.8,1.152
6125.0,1543771.993,5199614.367,152.465,154.944,155.071,154.944,left,2.479,458.0,513.553,1223.11,0.006,1.45,1.029,1.7,0.779
6375.0,1543966.307,5199458.812,150.958,152.718,153.666,152.718,left,1.76,286.0,259.611,544.755,0.006,1.15,0.61,1.3,0.46
6625.0,1544201.592,5199387.248,149.093,152.518,151.349,151.349,right,2.256,206.0,277.532,764.89,0.006,1.35,0.906,1.7,0.556
6875.0,1544398.604,5199245.23,147.541,149.988,151.25,149.988,left,2.446,326.0,410.175,1075.192,0.006,1.5,0.946,1.75,0.696
7125.0,1544578.283,5199071.405,145.976,148.247,148.845,148.247,left,2.271,374.0,290.637,548.12,0.006,1.6,0.671,1.9,0.371
7375.0,1544757.963,5198897.579,144.68,146.911,147.479,146.911,left,2.231,262.0,273.94,623.269,0.006,1.6,0.631,1.75,0.481
7625.0,1544941.636,5198728.18,143.143,146.156,146.116,146.116,right,2.973,564.0,719.759,1857.843,0.006,1.6,1.373,1.8,1.173
7875.0,1545133.553,5198567.983,141.512,144.631,145.48,144.631,left,3.119,496.0,667.542,1780.297,0.006,1.6,1.519,1.85,1.269
8125.0,1545340.653,5198431.23,140.294,142.79,143.39,142.79,left,2.496,458.0,476.918,1065.725,0.006,1.3,1.196,1.6,0.896
8375.0,1545555.198,5198315.294,138.74,141.157,141.174,141.157,left,2.417,282.0,333.221,807.648,0.006,1.45,0.967,1.85,0.567
8625.0,1545792.456,5198240.519,137.119,139.559,140.101,139.559,left,2.44,320.0,393.499,977.69,0.006,1.35,1.09,1.75,0.69
8875.0,1546011.298,5198120.404,135.773,138.385,138.533,138.385,left,2.612,232.0,378.815,1141.411,0.006,1.25,1.362,1.7,0.912
9125.0,1546246.999,5198044.311,134.537,136.858,136.502,136.502,right,1.965,286.0,273.497,584.502,0.006,1.15,0.815,1.35,0.615
9375.0,1546490.804,5198084.809,133.114,135.647,136.687,135.647,left,2.533,242.0,369.349,1067.542,0.006,1.1,1.433,1.35,1.183
9625.0,1546739.613,5198078.881,131.717,134.128,134.035,134.035,right,2.318,286.0,321.148,750.247,0.006,0.8,1.518,1.05,1.268
9875.0,1546980.798,5198143.855,130.391,132.662,132.221,132.221,right,1.83,220.0,212.353,445.909,0.006,0.5,1.33,0.85,0.98
10125.0,1547216.512,5198226.877,128.925,131.721,130.857,130.857,right,1.931,92.0,122.465,319.38,0.006,0.45,1.481,0.75,1.181
10375.0,1547416.131,5198372.647,127.432,131.095,129.735,129.735,right,2.303,234.0,260.568,601.064,0.006,0.85,1.453,1.1,1.203
10625.0,1547638.887,5198474.056,125.934,129.887,127.944,127.944,right,2.01,390.0,385.105,821.655,0.006,1.0,1.01,1.25,0.76
10875.0,1547884.983,5198461.675,124.679,126.795,127.084,126.795,left,2.116,464.0,404.098,811.925,0.006,1.3,0.816,1.6,0.516
11125.0,1548124.549,5198391.544,122.79,124.953,125.883,124.953,left,2.162,356.0,309.464,629.305,0.006,1.65,0.512,1.85,0.312
11375.0,1548349.079,5198284.108,121.518,124.24,123.392,123.392,right,1.874,376.0,411.235,992.292,0.006,1.05,0.824,1.35,0.524
11625.0,1548591.305,5198227.808,119.687,121.963,122.052,121.963,left,2.275,318.0,417.509,1138.519,0.006,1.3,0.975,1.55,0.725
11875.0,1548839.992,5198216.406,117.503,120.618,120.657,120.618,left,3.114,328.0,505.359,1541.296,0.006,1.8,1.314,2.15,0.964
