scenario,condition,trees,Carleton Road arrival (h),Wolffs Road arrival (h),Poyntzs Road arrival (h),Pesters Road arrival (h),Downs Road arrival (h),Browns Road arrival (h),Two Chain Road arrival (h),Diversion Road arrival (h),Wrights Road arrival (h),Dixon Road arrival (h),South Eyre Road arrival (h),Thongcaster Road arrival (h),Domain Road arrival (h),Barrett Road arrival (h),Kennedy Road arrival (h)
east,dry,none,0.82,1.33,1.92,2.31,3.33,4.37,5.42,7.49,0.23,1.0,7.92,,,,
east,dry,n=0.20,0.82,1.33,1.92,2.33,3.42,4.67,5.75,7.9,0.23,1.0,8.5,,,,
east,dry,n=0.30,0.82,1.33,1.92,2.39,3.42,4.75,5.83,8.08,0.23,1.0,8.76,,,,
east,wet,none,0.75,1.33,1.83,2.23,3.17,3.92,4.76,6.25,0.25,1.0,,,,,
east,wet,n=0.20,0.75,1.33,1.83,2.25,3.18,4.17,5.0,6.65,0.25,1.0,8.28,,,,
east,wet,n=0.30,0.75,1.33,1.83,2.31,3.18,4.25,5.08,6.75,0.25,1.0,8.31,,,,
quake,dry,none,0.65,1.08,1.58,2.0,3.08,4.17,5.25,7.33,0.17,0.41,7.8,,0.55,,
quake,dry,n=0.20,0.65,1.08,1.58,2.08,3.17,4.43,5.58,7.81,0.17,0.41,8.39,,0.55,,
quake,dry,n=0.30,0.65,1.08,1.58,2.08,3.17,4.5,5.66,7.98,0.17,0.41,8.67,,0.55,,
quake,wet,none,0.65,1.08,1.58,1.92,2.83,3.67,4.58,6.08,0.17,0.47,,,0.5,,
quake,wet,n=0.20,0.65,1.08,1.58,2.0,2.92,3.95,4.83,6.48,0.17,0.47,8.11,,0.5,,
quake,wet,n=0.30,0.65,1.08,1.58,2.0,2.92,4.0,4.92,6.58,0.17,0.47,8.18,,0.5,,
